imageFileName,gbifIDPlant,speciesPlant,scorePlant,scientificNameBird,gbifIDBird,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,dateFieldsValid,creator,publisher,license,rightsHolder,identifier,projectID,identificationDateTime
15780527545_004f1d5cf8_b_1038483785_1.jpg,2964904,Centrosema pubescens,3.251,"Amazilia tzacatl (de la Llave, 1833)",2476441,8.651627,-83.188477,250.0,NORTH_AMERICA,nan,,,,2004-03-07T00:00,False,Unknown,Unknown,Unknown,Unknown,http://live.staticflickr.com/7506/15780527545_004f1d5cf8_b.jpg,k-central-america,2024-10-23 20:13:25
25255_Amazilia_tzacatl_b+1313594266_2248806955_2.JPG,2650481,Phlebodium pseudoaureum,0.894,BOLD:AAN3823,2476441,18.523,-92.612,,NORTH_AMERICA,Tabasco,,,,1996-03-14,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/BOM/25255_Amazilia_tzacatl_a+1313594226.JPG; http://www.boldsystems.org/pics/BOM/25255_Amazilia_tzacatl_b+1313594266.JPG,k-mexico,2024-10-23 20:13:28
26297951838_69e693d92c_b_1805884196_3.jpg,2932547,Solanum paniculatum,1.902,"Amazilia tzacatl (de la Llave, 1833)",2476441,-0.051455,-78.772606,250.0,SOUTH_AMERICA,nan,,,,2017-12-22T00:00,False,Unknown,Unknown,Unknown,Unknown,http://live.staticflickr.com/4608/40170856131_8482424801_b.jpg; http://live.staticflickr.com/4626/40138090862_406e80ef7e_b.jpg; http://live.staticflickr.com/4671/28390459919_582842bb36_b.jpg; http://live.staticflickr.com/4759/26297951838_69e693d92c_b.jpg; http://live.staticflickr.com/4766/40138016472_3c6ac2dba9_b.jpg,k-western-south-america,2024-10-23 20:13:30
29376173846_2c3967f966_b_1579790948_1.jpg,9636531,Distimake tuberosus,2.601,"Amazilia tzacatl (de la Llave, 1833)",2476441,9.270879,-82.138039,250.0,NORTH_AMERICA,nan,,,,2014-12-03T00:00,False,Unknown,Unknown,Unknown,Unknown,http://live.staticflickr.com/8497/29376173846_2c3967f966_b.jpg,k-central-america,2024-10-23 20:13:33
30336882710_9e0844847a_b_1579791302_1.jpg,2827224,Encyclia cordigera,2.5669999999999997,"Amazilia tzacatl (de la Llave, 1833)",2476441,10.422398,-84.020523,250.0,NORTH_AMERICA,nan,,,,2014-11-23T00:00,False,Unknown,Unknown,Unknown,Unknown,http://live.staticflickr.com/5817/30336882710_9e0844847a_b.jpg,k-central-america,2024-10-23 20:13:35
32857290630_0bc4dcb402_b_1579791424_1.jpg,7297130,Stachytarpheta frantzii,84.139,"Amazilia tzacatl (de la Llave, 1833)",2476441,10.511442,-84.892044,250.0,NORTH_AMERICA,nan,,,,2017-02-06T00:00,False,Unknown,Unknown,Unknown,Unknown,https://live.staticflickr.com/2811/33198433886_3449b6487c_b.jpg; https://live.staticflickr.com/2857/32857290630_0bc4dcb402_b.jpg,k-central-america,2024-10-23 20:13:37
3297570893_5edd65ba09_b_1038483782_1.jpg,2956176,Delonix regia,32.181,"Amazilia tzacatl (de la Llave, 1833)",2476441,9.119555,-79.699455,250.0,NORTH_AMERICA,nan,,,,2009-01-05T00:00,False,Unknown,Unknown,Unknown,Unknown,http://live.staticflickr.com/3643/3297570893_5edd65ba09_b.jpg,k-central-america,2024-10-23 20:13:39
33198433886_3449b6487c_b_1579791424_2.jpg,7297130,Stachytarpheta frantzii,75.24499999999999,"Amazilia tzacatl (de la Llave, 1833)",2476441,10.511442,-84.892044,250.0,NORTH_AMERICA,nan,,,,2017-02-06T00:00,False,Unknown,Unknown,Unknown,Unknown,https://live.staticflickr.com/2811/33198433886_3449b6487c_b.jpg; https://live.staticflickr.com/2857/32857290630_0bc4dcb402_b.jpg,k-central-america,2024-10-23 20:13:40
33397ed8-dc6c-40f3-88eb-79c30eef3b71_3006482588_2.jpg,8077391,Citrus × aurantium,5.378,"Amazilia tzacatl (de la Llave, 1833)",2476441,10.474786,-84.64402,,NORTH_AMERICA,nan,,,,2016-12-06T05:45Z,False,Kristjan Adojaan,PlutoF,http://creativecommons.org/licenses/by-sa/4.0/; https://creativecommons.org/licenses/by-sa/4.0/,Kristjan Adojaan,https://s3.hpc.ut.ee/plutof-public/large/33397ed8-dc6c-40f3-88eb-79c30eef3b71.jpg; https://s3.hpc.ut.ee/plutof-public/large/f8aa8508-c634-4d64-83ce-3059bc2bc7e5.jpg,k-central-america,2024-10-23 20:13:42
38902528712_d86e50a6ef_b_1668724863_2.jpg,2760766,Heliconia hirsuta,1.6840000000000002,"Amazilia tzacatl (de la Llave, 1833)",2476441,5.255068,-76.093628,250.0,SOUTH_AMERICA,nan,,,,2017-08-20T00:00,False,Unknown,Unknown,Unknown,Unknown,http://live.staticflickr.com/4525/38902528712_d86e50a6ef_b.jpg; http://live.staticflickr.com/4689/38938770151_6d4a5b1f02_b.jpg,k-western-south-america,2024-10-23 20:13:46
