imageFileName,gbifIDPlant,speciesPlant,scorePlant,scientificNameBird,gbifIDBird,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,dateFieldsValid,creator,publisher,license,rightsHolder,identifier,projectID,identificationDateTime
IAvH-CT_754dorsal+1409234608_2250604130_3.JPG,11516048,Jupunba floribunda,2.896,BOLD:AAC5035,2476127,1.349,-76.103,,SOUTH_AMERICA,Caqueta,2000,9,1,2000-09-01,True,Unknown,Unknown,CreativeCommons - Attribution Share-Alike; http://creativecommons.org/licenses/by-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/IAvH-CT_754dorsal+1409234608.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_754lateral+1409234628.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_754ventral+1409234738.JPG,k-western-south-america,2024-10-21 21:39:29
IAvH-CT_754lateral+1409234628_2250604130_1.JPG,8735243,Gaulettia canomensis,0.305,BOLD:AAC5035,2476127,1.349,-76.103,,SOUTH_AMERICA,Caqueta,2000,9,1,2000-09-01,True,Unknown,Unknown,CreativeCommons - Attribution Share-Alike; http://creativecommons.org/licenses/by-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/IAvH-CT_754dorsal+1409234608.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_754lateral+1409234628.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_754ventral+1409234738.JPG,k-western-south-america,2024-10-21 21:39:30
IAvH-CT_754ventral+1409234738_2250604130_2.JPG,4030603,Qualea homosepala,5.132,BOLD:AAC5035,2476127,1.349,-76.103,,SOUTH_AMERICA,Caqueta,2000,9,1,2000-09-01,True,Unknown,Unknown,CreativeCommons - Attribution Share-Alike; http://creativecommons.org/licenses/by-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/IAvH-CT_754dorsal+1409234608.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_754lateral+1409234628.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_754ventral+1409234738.JPG,k-western-south-america,2024-10-21 21:39:32
original_2235536653_1.jpg,5380041,Ricinus communis,1.363,"Campylopterus villaviscensio (Bourcier, 1851)",2476127,-0.660684,-77.663084,31450.0,SOUTH_AMERICA,Napo,2019,3,17,2019-03-17T10:31,True,Debara,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Debara,https://inaturalist-open-data.s3.amazonaws.com/photos/33974383/original.jpg,k-western-south-america,2024-10-21 21:39:41
original_2563499938_1.jpeg,7355785,Urera lianoides,4.5920000000000005,"Campylopterus villaviscensio (Bourcier, 1851)",2476127,-0.627164,-77.677113,31450.0,SOUTH_AMERICA,Napo,2016,9,6,2016-09-06T13:55,True,Ben Tsai蔡維哲,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Ben Tsai蔡維哲,https://inaturalist-open-data.s3.amazonaws.com/photos/59819199/original.jpeg,k-western-south-america,2024-10-21 21:39:43
original_2988428563_1.jpg,2898970,Palicourea longistipulata,3.6580000000000004,"Campylopterus villaviscensio (Bourcier, 1851)",2476127,-0.717531,-77.757937,31450.0,SOUTH_AMERICA,Napo,2015,4,7,2015-04-07,True,Andy Frank,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Andy Frank,https://inaturalist-open-data.s3.amazonaws.com/photos/105096463/original.jpg,k-western-south-america,2024-10-21 21:39:55
original_2992813403_1.jpeg,5337281,Chomelia malaneoides,7.1819999999999995,"Campylopterus villaviscensio (Bourcier, 1851)",2476127,-1.418014,-78.165147,31446.0,SOUTH_AMERICA,Pastaza,2019,10,19,2019-10-19T15:14,True,Damian Zabala,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Damian Zabala,https://inaturalist-open-data.s3.amazonaws.com/photos/54786881/original.jpeg,k-western-south-america,2024-10-21 21:39:58
original_3061714612_1.jpeg,3155772,Guatteria punctata,3.4410000000000003,"Campylopterus villaviscensio (Bourcier, 1851)",2476127,-0.612944,-77.660903,31450.0,SOUTH_AMERICA,Napo,2019,11,17,2019-11-17T18:02,True,Jan Ebr & Ivana Ebrová,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Jan Ebr & Ivana Ebrová,https://inaturalist-open-data.s3.amazonaws.com/photos/115629843/original.jpeg,k-western-south-america,2024-10-21 21:40:00
original_3118210365_1.jpeg,2984359,Boehmeria nivea,1.6260000000000001,"Campylopterus villaviscensio (Bourcier, 1851)",2476127,-0.769,-77.771366,31450.0,SOUTH_AMERICA,Napo,2021,5,10,2021-05-10T15:55:49Z,True,Nelson Apolo,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Nelson Apolo,https://inaturalist-open-data.s3.amazonaws.com/photos/129822540/original.jpeg,k-western-south-america,2024-10-21 21:40:03
original_3391340568_1.jpg,3172603,Mansoa alliacea,3.943,"Campylopterus villaviscensio (Bourcier, 1851)",2476127,-0.729133,-77.772551,31450.0,SOUTH_AMERICA,Napo,2021,8,11,2021-08-11T18:32,True,Jana Václavíková,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Jana Václavíková,https://inaturalist-open-data.s3.amazonaws.com/photos/157140922/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/157140955/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/157141009/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/157141028/original.jpg,k-western-south-america,2024-10-21 21:40:06
original_3391340568_3.jpg,3172603,Mansoa alliacea,3.565,"Campylopterus villaviscensio (Bourcier, 1851)",2476127,-0.729133,-77.772551,31450.0,SOUTH_AMERICA,Napo,2021,8,11,2021-08-11T18:32,True,Jana Václavíková,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Jana Václavíková,https://inaturalist-open-data.s3.amazonaws.com/photos/157140922/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/157140955/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/157141009/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/157141028/original.jpg,k-western-south-america,2024-10-21 21:40:11
