imageFileName,gbifIDPlant,speciesPlant,scorePlant,scientificNameBird,gbifIDBird,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,dateFieldsValid,creator,publisher,license,rightsHolder,identifier,projectID,identificationDateTime
IAvH-CT_17382_dorsal+1436388392_2250604186_2.JPG,2650481,Phlebodium pseudoaureum,1.4449999999999998,BOLD:ACO5427,2476805,4.437,-75.577,,SOUTH_AMERICA,Tolima,,,,nan,False,Unknown,Unknown,CreativeCommons - Attribution Share-Alike; http://creativecommons.org/licenses/by-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17382_dorsal+1436388392.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17382_ventral+1436388430.JPG,k-western-south-america,2024-10-24 02:43:17
IAvH-CT_1793dorsal+1409235158_2250604272_1.JPG,2943558,Pentaclethra macroloba,12.034,BOLD:ACO5427,2476805,5.23,-75.384,,SOUTH_AMERICA,Caldas,,,,2002-02-19,False,Unknown,Unknown,CreativeCommons - Attribution Share-Alike; http://creativecommons.org/licenses/by-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/IAvH-CT_1793dorsal+1409235158.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_1793lateral+1409235182.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_1793ventral+1409235210.JPG,k-western-south-america,2024-10-24 02:43:20
IAvH-CT_1793lateral+1409235182_2250604272_2.JPG,5330225,Heteropsis flexuosa,2.171,BOLD:ACO5427,2476805,5.23,-75.384,,SOUTH_AMERICA,Caldas,,,,2002-02-19,False,Unknown,Unknown,CreativeCommons - Attribution Share-Alike; http://creativecommons.org/licenses/by-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/IAvH-CT_1793dorsal+1409235158.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_1793lateral+1409235182.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_1793ventral+1409235210.JPG,k-western-south-america,2024-10-24 02:43:21
original_1562885980_1.jpg,2792457,Polystachya concreta,5.893000000000001,"Chalcostigma herrani (Delattre & Bourcier, 1846)",2476805,-0.127498,-78.590559,1.0,SOUTH_AMERICA,Pichincha,,,,2017-03-18T10:33,False,Leslie Flint,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Leslie Flint,https://inaturalist-open-data.s3.amazonaws.com/photos/6800296/original.jpg,k-western-south-america,2024-10-24 02:43:30
original_1890675100_1.jpg,8368994,Passiflora mixta,0.979,"Chalcostigma herrani (Delattre & Bourcier, 1846)",2476805,-0.111739,-78.584856,212.0,SOUTH_AMERICA,Pichincha,,,,2018-07-03T09:06,False,Gordon Karre,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Gordon Karre,https://inaturalist-open-data.s3.amazonaws.com/photos/22368654/original.jpg,k-western-south-america,2024-10-24 02:43:33
original_2013724421_1.jpeg,3173338,Buddleja davidii,5.949,"Chalcostigma herrani (Delattre & Bourcier, 1846)",2476805,-0.323939,-78.208881,,SOUTH_AMERICA,Pichincha,,,,2019-02-24T11:55,False,Eric Carpenter,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Eric Carpenter,https://inaturalist-open-data.s3.amazonaws.com/photos/32658074/original.jpeg,k-western-south-america,2024-10-24 02:43:42
original_2423187905_1.jpg,3191361,Byrsonima crassifolia,3.971,"Chalcostigma herrani (Delattre & Bourcier, 1846)",2476805,-0.124684,-78.589203,,SOUTH_AMERICA,Pichincha,,,,2019-09-21T10:39:26,False,Nelson Apolo,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Nelson Apolo,https://inaturalist-open-data.s3.amazonaws.com/photos/52100986/original.jpg,k-western-south-america,2024-10-24 02:43:47
original_2542916618_1.jpeg,3105054,Espeletia pycnophylla,97.043,"Chalcostigma herrani (Delattre & Bourcier, 1846)",2476805,0.679592,-77.878074,244.0,SOUTH_AMERICA,Carchi,,,,2019-06-08T14:08,False,wouter_oe,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,wouter_oe,https://inaturalist-open-data.s3.amazonaws.com/photos/58427911/original.jpeg,k-western-south-america,2024-10-24 02:43:50
original_2563605532_1.jpeg,2796000,Comparettia falcata,2.572,"Chalcostigma herrani (Delattre & Bourcier, 1846)",2476805,4.97047,-75.378185,11.0,SOUTH_AMERICA,Caldas,,,,2015-02-26T11:38,False,Jeff Harding,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Jeff Harding,https://inaturalist-open-data.s3.amazonaws.com/photos/60317785/original.jpeg,k-western-south-america,2024-10-24 02:43:52
original_2574106076_1.jpeg,7971787,Vaccinium floribundum,3.5290000000000004,"Chalcostigma herrani (Delattre & Bourcier, 1846)",2476805,-0.111757,-78.585165,231.0,SOUTH_AMERICA,Pichincha,,,,2019-04-24,False,subhashc,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,subhashc,https://inaturalist-open-data.s3.amazonaws.com/photos/60859618/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/60859622/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/60859627/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/60859629/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/60859633/original.jpeg,k-western-south-america,2024-10-24 02:43:54
