imageFileName,gbifIDPlant,speciesPlant,scorePlant,scientificNameBird,gbifIDBird,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,dateFieldsValid,creator,publisher,license,rightsHolder,identifier,projectID,identificationDateTime
IAvH-CT_485dorsal+1409234416_2250604035_2.JPG,3589090,Aristolochia constricta,1.8239999999999998,BOLD:ACO6194,2477041,1.111,-74.053,,SOUTH_AMERICA,La Guajira,2000,4,7,2000-04-07,True,Unknown,Unknown,CreativeCommons - Attribution Share-Alike; http://creativecommons.org/licenses/by-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/IAvH-CT_485dorsal+1409234416.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_485lateral+1409234474.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_485ventral+1409234502.JPG,k-western-south-america,2024-10-25 06:33:22
IAvH-CT_485lateral+1409234474_2250604035_1.JPG,4030812,Qualea acuminata,1.1159999999999999,BOLD:ACO6194,2477041,1.111,-74.053,,SOUTH_AMERICA,La Guajira,2000,4,7,2000-04-07,True,Unknown,Unknown,CreativeCommons - Attribution Share-Alike; http://creativecommons.org/licenses/by-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/IAvH-CT_485dorsal+1409234416.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_485lateral+1409234474.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_485ventral+1409234502.JPG,k-western-south-america,2024-10-25 06:33:23
IAvH-CT_485ventral+1409234502_2250604035_3.JPG,2951411,Mucuna rostrata,4.405,BOLD:ACO6194,2477041,1.111,-74.053,,SOUTH_AMERICA,La Guajira,2000,4,7,2000-04-07,True,Unknown,Unknown,CreativeCommons - Attribution Share-Alike; http://creativecommons.org/licenses/by-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/IAvH-CT_485dorsal+1409234416.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_485lateral+1409234474.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_485ventral+1409234502.JPG,k-western-south-america,2024-10-25 06:33:25
original_2465210851_1.jpg,3185061,Ugni myricoides,1.6219999999999999,"Coeligena phalerata (Bangs, 1898)",2477041,11.009948,-74.059124,31158.0,SOUTH_AMERICA,Magdalena,2019,9,2,2019-09-02T16:47,True,Rich Kostecke,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Rich Kostecke,https://inaturalist-open-data.s3.amazonaws.com/photos/53622293/original.jpg,k-western-south-america,2024-10-25 06:33:36
original_2465210895_1.jpg,7299577,Lycianthes lycioides,0.959,"Coeligena phalerata (Bangs, 1898)",2477041,11.189553,-74.120214,31158.0,SOUTH_AMERICA,Magdalena,2019,9,2,2019-09-02T16:45,True,Rich Kostecke,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Rich Kostecke,https://inaturalist-open-data.s3.amazonaws.com/photos/53622259/original.jpg,k-western-south-america,2024-10-25 06:33:39
original_2574288458_1.jpeg,2792457,Polystachya concreta,14.895,"Coeligena phalerata (Bangs, 1898)",2477041,11.001412,-74.143008,31158.0,SOUTH_AMERICA,Magdalena,2020,1,30,2020-01-30T07:15,True,Michael Woodruff,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Michael Woodruff,https://inaturalist-open-data.s3.amazonaws.com/photos/61671023/original.jpeg,k-western-south-america,2024-10-25 06:33:50
original_2859937890_1.jpeg,Unknown,Unknown,0,"Coeligena phalerata (Bangs, 1898)",2477041,11.074727,-74.191341,31158.0,SOUTH_AMERICA,Magdalena,2013,11,12,2013-11-12T14:07,True,docprt,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,docprt,https://inaturalist-open-data.s3.amazonaws.com/photos/92613691/original.jpeg,k-western-south-america,2024-10-25 06:33:55
original_2859964989_1.jpeg,2929617,Solanum chrysotrichum,1.097,"Coeligena phalerata (Bangs, 1898)",2477041,11.15871,-74.04753,31158.0,SOUTH_AMERICA,Magdalena,2013,11,13,2013-11-13T06:24,True,docprt,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,docprt,https://inaturalist-open-data.s3.amazonaws.com/photos/92685514/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/92685550/original.jpeg,k-western-south-america,2024-10-25 06:34:03
original_2859964989_2.jpeg,3082392,Lecythis minor,4.419,"Coeligena phalerata (Bangs, 1898)",2477041,11.15871,-74.04753,31158.0,SOUTH_AMERICA,Magdalena,2013,11,13,2013-11-13T06:24,True,docprt,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,docprt,https://inaturalist-open-data.s3.amazonaws.com/photos/92685514/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/92685550/original.jpeg,k-western-south-america,2024-10-25 06:34:05
original_2860139959_1.jpeg,5601452,Pleroma granulosum,0.49100000000000005,"Coeligena phalerata (Bangs, 1898)",2477041,11.146316,-74.169788,31158.0,SOUTH_AMERICA,Magdalena,2013,11,12,2013-11-12T14:23,True,docprt,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,docprt,https://inaturalist-open-data.s3.amazonaws.com/photos/92633080/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/92633085/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/92633090/original.jpeg,k-western-south-america,2024-10-25 06:34:08
