imageFileName,gbifIDPlant,speciesPlant,scorePlant,scientificNameBird,gbifIDBird,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,dateFieldsValid,creator,publisher,license,rightsHolder,identifier,projectID,identificationDateTime
original_1807282361_1.jpeg,5357158,Cassia grandis,7.697,"Colibri serrirostris (Vieillot, 1816)",5228484,-20.754866,-42.878579,6031.0,SOUTH_AMERICA,Minas Gerais,2011,6,5,2011-06-05,True,Marinês Eiterer,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Marinês Eiterer,https://inaturalist-open-data.s3.amazonaws.com/photos/13096502/original.jpeg,k-brazil,2024-10-24 16:02:18
original_1931496207_1.jpeg,7287808,Equisetum giganteum,3.129,"Colibri serrirostris (Vieillot, 1816)",5228484,-15.444282,-55.825215,,SOUTH_AMERICA,Mato Grosso,2018,9,24,2018-09-24T15:33,True,guyincognito,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,guyincognito,https://inaturalist-open-data.s3.amazonaws.com/photos/26589916/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/26589920/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/26589928/original.jpeg,k-brazil,2024-10-24 16:02:21
original_1931496207_2.jpeg,3152084,Corchorus olitorius,2.032,"Colibri serrirostris (Vieillot, 1816)",5228484,-15.444282,-55.825215,,SOUTH_AMERICA,Mato Grosso,2018,9,24,2018-09-24T15:33,True,guyincognito,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,guyincognito,https://inaturalist-open-data.s3.amazonaws.com/photos/26589916/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/26589920/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/26589928/original.jpeg,k-brazil,2024-10-24 16:02:23
original_1931496207_3.jpeg,Unknown,Unknown,0,"Colibri serrirostris (Vieillot, 1816)",5228484,-15.444282,-55.825215,,SOUTH_AMERICA,Mato Grosso,2018,9,24,2018-09-24T15:33,True,guyincognito,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,guyincognito,https://inaturalist-open-data.s3.amazonaws.com/photos/26589916/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/26589920/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/26589928/original.jpeg,k-brazil,2024-10-24 16:02:25
original_2028487754_1.jpeg,2925303,Lantana camara,54.583999999999996,"Colibri serrirostris (Vieillot, 1816)",5228484,-15.773212,-47.921001,14.0,SOUTH_AMERICA,Distrito Federal,2019,3,17,2019-03-17,True,Carlos A S Correia,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Carlos A S Correia,https://inaturalist-open-data.s3.amazonaws.com/photos/33053691/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/33053874/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/33053887/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/33053896/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/33053925/original.jpeg,k-brazil,2024-10-24 16:02:28
original_2028487754_2.jpeg,2925303,Lantana camara,25.375999999999998,"Colibri serrirostris (Vieillot, 1816)",5228484,-15.773212,-47.921001,14.0,SOUTH_AMERICA,Distrito Federal,2019,3,17,2019-03-17,True,Carlos A S Correia,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Carlos A S Correia,https://inaturalist-open-data.s3.amazonaws.com/photos/33053691/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/33053874/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/33053887/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/33053896/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/33053925/original.jpeg,k-brazil,2024-10-24 16:02:31
original_2028487754_3.jpeg,2925303,Lantana camara,31.599,"Colibri serrirostris (Vieillot, 1816)",5228484,-15.773212,-47.921001,14.0,SOUTH_AMERICA,Distrito Federal,2019,3,17,2019-03-17,True,Carlos A S Correia,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Carlos A S Correia,https://inaturalist-open-data.s3.amazonaws.com/photos/33053691/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/33053874/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/33053887/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/33053896/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/33053925/original.jpeg,k-brazil,2024-10-24 16:02:33
original_2028487754_4.jpeg,2925303,Lantana camara,82.43599999999999,"Colibri serrirostris (Vieillot, 1816)",5228484,-15.773212,-47.921001,14.0,SOUTH_AMERICA,Distrito Federal,2019,3,17,2019-03-17,True,Carlos A S Correia,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Carlos A S Correia,https://inaturalist-open-data.s3.amazonaws.com/photos/33053691/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/33053874/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/33053887/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/33053896/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/33053925/original.jpeg,k-brazil,2024-10-24 16:02:35
original_2028487754_5.jpeg,2925303,Lantana camara,50.96000000000001,"Colibri serrirostris (Vieillot, 1816)",5228484,-15.773212,-47.921001,14.0,SOUTH_AMERICA,Distrito Federal,2019,3,17,2019-03-17,True,Carlos A S Correia,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Carlos A S Correia,https://inaturalist-open-data.s3.amazonaws.com/photos/33053691/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/33053874/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/33053887/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/33053896/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/33053925/original.jpeg,k-brazil,2024-10-24 16:02:37
original_2283028517_1.jpg,Unknown,Unknown,0,"Colibri serrirostris (Vieillot, 1816)",5228484,-23.093762,-44.852804,30217.0,SOUTH_AMERICA,São Paulo,2019,6,11,2019-06-11,True,janie_jones,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,janie_jones,https://inaturalist-open-data.s3.amazonaws.com/photos/41735878/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/41736072/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/41736084/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/41736091/original.jpg,k-brazil,2024-10-24 16:02:40
