imageFileName,gbifIDPlant,speciesPlant,scorePlant,scientificNameBird,gbifIDBird,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,dateFieldsValid,creator,publisher,license,rightsHolder,identifier,projectID,identificationDateTime
53207906885_f27a90786c_b_4421337385_1.jpg,5275085,Olfersia cervina,6.035,"Doryfera ludovicae (Bourcier & Mulsant, 1847)",2476971,0.161854,-78.853279,250.0,SOUTH_AMERICA,nan,,,,2023-07-17T00:00,False,Unknown,Unknown,Unknown,Unknown,https://live.staticflickr.com/65535/53207906885_f27a90786c_b.jpg,k-western-south-america,2024-10-26 20:07:43
DSC04435+1372426360_2250603983_3.JPG,3826009,Caryocar villosum,2.3369999999999997,BOLD:AAL2196,2476971,5.148,-75.967,,SOUTH_AMERICA,Risaralda,,,,2004-08-29,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/DSC04435+1372426360.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04441+1372426508.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04448+1372426598.JPG,k-western-south-america,2024-10-26 20:07:45
DSC04441+1372426508_2250603983_2.JPG,4094670,Manaosella cordifolia,2.5309999999999997,BOLD:AAL2196,2476971,5.148,-75.967,,SOUTH_AMERICA,Risaralda,,,,2004-08-29,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/DSC04435+1372426360.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04441+1372426508.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04448+1372426598.JPG,k-western-south-america,2024-10-26 20:07:47
DSC04448+1372426598_2250603983_1.JPG,3083413,Eschweilera chartaceifolia,1.936,BOLD:AAL2196,2476971,5.148,-75.967,,SOUTH_AMERICA,Risaralda,,,,2004-08-29,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/DSC04435+1372426360.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04441+1372426508.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04448+1372426598.JPG,k-western-south-america,2024-10-26 20:07:48
IAvH-A-16216_D+1533159350_2633353188_4.JPG,3826009,Caryocar villosum,3.528,BOLD:AAL2196,2476971,4.524,-73.427,,SOUTH_AMERICA,Cundinamarca,,,,2018-03-15,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/CBIHB/IAvH-A-16216_D+1533159350.JPG; http://www.boldsystems.org/pics/CBIHB/IAvH-A-16216_L1+1533159288.JPG; http://www.boldsystems.org/pics/CBIHB/IAvH-A-16216_L2+1533159312.JPG; http://www.boldsystems.org/pics/CBIHB/IAvH-A-16216_V+1533159374.JPG,k-western-south-america,2024-10-26 20:07:50
original_1562924760_1.jpg,3603051,Bocconia arborea,2.247,"Doryfera ludovicae (Bourcier & Mulsant, 1847)",2476971,9.78685,-83.849704,210.0,NORTH_AMERICA,Cartago,,,,2017-04-13T11:40,False,Marv Elliott,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Marv Elliott,https://inaturalist-open-data.s3.amazonaws.com/photos/7749673/original.jpg,k-central-america,2024-10-26 20:08:11
original_1640121683_1.jpg,8368994,Passiflora mixta,67.78699999999999,"Doryfera ludovicae (Bourcier & Mulsant, 1847)",2476971,-0.065145,-78.749828,351.0,SOUTH_AMERICA,Pichincha,,,,2017-03-06T10:36,False,Julien Renoult,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Julien Renoult,https://inaturalist-open-data.s3.amazonaws.com/photos/10389583/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/10389597/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/10389623/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/10389628/original.jpg,k-western-south-america,2024-10-26 20:08:13
original_1640121683_2.jpeg,4072534,Mourera fluviatilis,1.577,"Doryfera ludovicae (Bourcier & Mulsant, 1847)",2476971,-0.065145,-78.749828,351.0,SOUTH_AMERICA,Pichincha,,,,2017-03-06T10:36,False,Julien Renoult,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Julien Renoult,https://inaturalist-open-data.s3.amazonaws.com/photos/10389583/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/10389597/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/10389623/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/10389628/original.jpg,k-western-south-america,2024-10-26 20:08:15
original_1640121683_3.jpg,5319583,Cyrtopodium parviflorum,2.9610000000000003,"Doryfera ludovicae (Bourcier & Mulsant, 1847)",2476971,-0.065145,-78.749828,351.0,SOUTH_AMERICA,Pichincha,,,,2017-03-06T10:36,False,Julien Renoult,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Julien Renoult,https://inaturalist-open-data.s3.amazonaws.com/photos/10389583/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/10389597/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/10389623/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/10389628/original.jpg,k-western-south-america,2024-10-26 20:08:17
original_1640121683_4.jpg,3678217,Ipomoea grandifolia,3.3169999999999997,"Doryfera ludovicae (Bourcier & Mulsant, 1847)",2476971,-0.065145,-78.749828,351.0,SOUTH_AMERICA,Pichincha,,,,2017-03-06T10:36,False,Julien Renoult,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Julien Renoult,https://inaturalist-open-data.s3.amazonaws.com/photos/10389583/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/10389597/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/10389623/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/10389628/original.jpg,k-western-south-america,2024-10-26 20:08:19
