imageFileName,gbifIDPlant,speciesPlant,scorePlant,scientificNameBird,gbifIDBird,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,dateFieldsValid,creator,publisher,license,rightsHolder,identifier,projectID,identificationDateTime
39743383625_da8711348d_b_1835239508_1.jpg,4073498,Quararibea asterolepis,2.367,"Eriocnemis vestita (R.Lesson, 1839)",5228524,4.516944,-75.649712,250.0,SOUTH_AMERICA,nan,,,,2018-02-17T00:00,False,Unknown,Unknown,Unknown,Unknown,http://live.staticflickr.com/4610/39743383625_da8711348d_b.jpg,k-western-south-america,2024-10-28 16:09:16
39743383625_da8711348d_b_1835239508_1.jpg,4073498,Quararibea asterolepis,2.367,"Eriocnemis vestita (R.Lesson, 1839)",5228524,4.516944,-75.649712,250.0,SOUTH_AMERICA,nan,,,,2018-02-17T00:00,False,Unknown,Unknown,Unknown,Unknown,http://live.staticflickr.com/4610/39743383625_da8711348d_b.jpg,k-western-south-america,2024-10-28 16:09:16
51757608572_8d5eea91d4_b_3447368829_1.jpg,5349770,Erythrina costaricensis,9.73,"Eriocnemis vestita (R.Lesson, 1839)",5228524,4.606992,-74.05703,250.0,SOUTH_AMERICA,nan,,,,2021-12-03T00:00,False,Unknown,Unknown,Unknown,Unknown,https://live.staticflickr.com/65535/51757608342_709da9c58d_b.jpg; https://live.staticflickr.com/65535/51757608572_8d5eea91d4_b.jpg; https://live.staticflickr.com/65535/51759310035_3457e1a71c_b.jpg; https://live.staticflickr.com/65535/51842920324_1e27c1ba21_b.jpg,k-western-south-america,2024-10-28 16:09:20
51757608572_8d5eea91d4_b_3447368829_1.jpg,5349770,Erythrina costaricensis,9.73,"Eriocnemis vestita (R.Lesson, 1839)",5228524,4.606992,-74.05703,250.0,SOUTH_AMERICA,nan,,,,2021-12-03T00:00,False,Unknown,Unknown,Unknown,Unknown,https://live.staticflickr.com/65535/51757608342_709da9c58d_b.jpg; https://live.staticflickr.com/65535/51757608572_8d5eea91d4_b.jpg; https://live.staticflickr.com/65535/51759310035_3457e1a71c_b.jpg; https://live.staticflickr.com/65535/51842920324_1e27c1ba21_b.jpg,k-western-south-america,2024-10-28 16:09:20
DSC05160+1372869710_2250604149_2.JPG,2976183,Entada gigas,1.325,BOLD:ACH0031,5228524,4.627,-73.692,,SOUTH_AMERICA,Cundinamarca,,,,2006-09-19,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/DSC05133+1372867088.JPG; http://www.boldsystems.org/pics/IAVHB/DSC05139+1372867168.JPG; http://www.boldsystems.org/pics/IAVHB/DSC05160+1372869710.JPG,k-western-south-america,2024-10-28 16:09:31
DSC05160+1372869710_2250604149_2.JPG,2976183,Entada gigas,1.325,BOLD:ACH0031,5228524,4.627,-73.692,,SOUTH_AMERICA,Cundinamarca,,,,2006-09-19,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/DSC05133+1372867088.JPG; http://www.boldsystems.org/pics/IAVHB/DSC05139+1372867168.JPG; http://www.boldsystems.org/pics/IAVHB/DSC05160+1372869710.JPG,k-western-south-america,2024-10-28 16:09:31
IAvH-CT_17328_dorsal+1444402186_2250604816_2.JPG,4030812,Qualea acuminata,5.769,BOLD:ACH0031,5228524,5.868,-73.118,,SOUTH_AMERICA,Boyaca,,,,nan,False,Unknown,Unknown,CreativeCommons - Attribution Share-Alike; http://creativecommons.org/licenses/by-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17328_dorsal+1444402186.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17328_lateral+1444402112.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17328_ventral+1444402144.JPG,k-western-south-america,2024-10-28 16:09:33
IAvH-CT_17328_dorsal+1444402186_2250604816_2.JPG,4030812,Qualea acuminata,5.769,BOLD:ACH0031,5228524,5.868,-73.118,,SOUTH_AMERICA,Boyaca,,,,nan,False,Unknown,Unknown,CreativeCommons - Attribution Share-Alike; http://creativecommons.org/licenses/by-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17328_dorsal+1444402186.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17328_lateral+1444402112.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17328_ventral+1444402144.JPG,k-western-south-america,2024-10-28 16:09:33
IAvH-CT_17328_lateral+1444402112_2250604816_1.JPG,4030812,Qualea acuminata,14.205000000000002,BOLD:ACH0031,5228524,5.868,-73.118,,SOUTH_AMERICA,Boyaca,,,,nan,False,Unknown,Unknown,CreativeCommons - Attribution Share-Alike; http://creativecommons.org/licenses/by-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17328_dorsal+1444402186.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17328_lateral+1444402112.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17328_ventral+1444402144.JPG,k-western-south-america,2024-10-28 16:09:34
IAvH-CT_17328_lateral+1444402112_2250604816_1.JPG,4030812,Qualea acuminata,14.205000000000002,BOLD:ACH0031,5228524,5.868,-73.118,,SOUTH_AMERICA,Boyaca,,,,nan,False,Unknown,Unknown,CreativeCommons - Attribution Share-Alike; http://creativecommons.org/licenses/by-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17328_dorsal+1444402186.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17328_lateral+1444402112.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17328_ventral+1444402144.JPG,k-western-south-america,2024-10-28 16:09:34
