imageFileName,gbifIDPlant,speciesPlant,scorePlant,scientificNameBird,gbifIDBird,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,dateFieldsValid,creator,publisher,license,rightsHolder,identifier,projectID,identificationDateTime
51794281326_957b43dca7_b_3447416816_2.jpg,8185162,Symphonia globulifera,11.434999999999999,"Haplophaedia aureliae (Bourcier & Mulsant, 1846)",2476336,3.526289,-76.616753,250.0,SOUTH_AMERICA,nan,,,,2021-12-13T00:00,False,Unknown,Unknown,Unknown,Unknown,https://live.staticflickr.com/65535/51794281326_957b43dca7_b.jpg; https://live.staticflickr.com/65535/51794403158_f979e6e4c4_b.jpg; https://live.staticflickr.com/65535/51794403863_5f574f8081_b.jpg,k-western-south-america,2024-10-25 17:06:35
51794403158_f979e6e4c4_b_3447416816_3.jpg,3155818,Guatteria guianensis,3.846,"Haplophaedia aureliae (Bourcier & Mulsant, 1846)",2476336,3.526289,-76.616753,250.0,SOUTH_AMERICA,nan,,,,2021-12-13T00:00,False,Unknown,Unknown,Unknown,Unknown,https://live.staticflickr.com/65535/51794281326_957b43dca7_b.jpg; https://live.staticflickr.com/65535/51794403158_f979e6e4c4_b.jpg; https://live.staticflickr.com/65535/51794403863_5f574f8081_b.jpg,k-western-south-america,2024-10-25 17:06:36
DSC04569+1372431046_2250604371_1.JPG,3621740,Himatanthus articulatus,4.22,BOLD:ACH0036,2476336,3.558,-75.417,,SOUTH_AMERICA,Valle del Cauca,,,,2003-07-29,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/DSC04569+1372431046.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04575+1372431112.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04578+1372431228.JPG,k-western-south-america,2024-10-25 17:06:39
DSC04575+1372431112_2250604371_3.JPG,4011797,Lomariopsis japurensis,7.097,BOLD:ACH0036,2476336,3.558,-75.417,,SOUTH_AMERICA,Valle del Cauca,,,,2003-07-29,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/DSC04569+1372431046.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04575+1372431112.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04578+1372431228.JPG,k-western-south-america,2024-10-25 17:06:41
DSC04687+1372433576_2250604004_2.JPG,4011797,Lomariopsis japurensis,3.605,BOLD:ACH0036,2476336,3.558,-75.417,,SOUTH_AMERICA,Valle del Cauca,,,,2003-07-29,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/DSC04687+1372433576.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04692+1372433686.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04896+1372447504.JPG,k-western-south-america,2024-10-25 17:06:42
DSC04692+1372433686_2250604004_1.JPG,3589090,Aristolochia constricta,1.783,BOLD:ACH0036,2476336,3.558,-75.417,,SOUTH_AMERICA,Valle del Cauca,,,,2003-07-29,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/DSC04687+1372433576.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04692+1372433686.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04896+1372447504.JPG,k-western-south-america,2024-10-25 17:06:43
original_1837068458_1.jpg,5331145,Casearia aculeata,8.27,"Haplophaedia aureliae (Bourcier & Mulsant, 1846)",2476336,6.978654,-75.120692,141.0,SOUTH_AMERICA,Antioquia,,,,2018-01-26T10:50,False,Ken Chamberlain,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Ken Chamberlain,https://inaturalist-open-data.s3.amazonaws.com/photos/14451333/original.jpg,k-western-south-america,2024-10-25 17:06:54
original_1837779091_1.jpg,3189950,Paullinia pinnata,8.944,"Haplophaedia aureliae (Bourcier & Mulsant, 1846)",2476336,5.25708,-76.11057,,SOUTH_AMERICA,Risaralda,,,,2018-03-10,False,Luis G Restrepo,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Luis G Restrepo,https://inaturalist-open-data.s3.amazonaws.com/photos/14846934/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/14846941/original.jpg,k-western-south-america,2024-10-25 17:06:57
original_1914356899_1.jpeg,6365487,Columnea consanguinea,5.345,"Haplophaedia aureliae (Bourcier & Mulsant, 1846)",2476336,5.779079,-76.029251,244.0,SOUTH_AMERICA,Antioquia,,,,2018-07-19,False,Bioexploradores Farallones,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Bioexploradores Farallones,https://inaturalist-open-data.s3.amazonaws.com/photos/25999808/original.jpeg,k-western-south-america,2024-10-25 17:07:02
original_1933579065_1.jpg,3152846,Virola sebifera,1.754,"Haplophaedia aureliae (Bourcier & Mulsant, 1846)",2476336,6.890601,-75.404057,1268.0,SOUTH_AMERICA,Antioquia,,,,2015-03-08,False,Mateo Giraldo Tamayo,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Mateo Giraldo Tamayo,https://inaturalist-open-data.s3.amazonaws.com/photos/27434527/original.jpg,k-western-south-america,2024-10-25 17:07:07
