imageFileName,gbifIDPlant,speciesPlant,scorePlant,scientificNameBird,gbifIDBird,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,dateFieldsValid,creator,publisher,license,rightsHolder,identifier,projectID,identificationDateTime
DSC04704+1372444360_2250604741_2.JPG,11516048,Jupunba floribunda,0.997,BOLD:AAX1465,2476943,3.985833,-69.901665,,SOUTH_AMERICA,Amazonas,,,,2007-12-05,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/DSC04704+1372444360.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04707+1372444426.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04710+1372444478.JPG,k-western-south-america,2024-10-28 13:36:23
DSC04707+1372444426_2250604741_1.JPG,2943558,Pentaclethra macroloba,7.9799999999999995,BOLD:AAX1465,2476943,3.985833,-69.901665,,SOUTH_AMERICA,Amazonas,,,,2007-12-05,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/DSC04704+1372444360.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04707+1372444426.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04710+1372444478.JPG,k-western-south-america,2024-10-28 13:36:25
DSC04710+1372444478_2250604741_3.JPG,5569997,Ficus panurensis,1.951,BOLD:AAX1465,2476943,3.985833,-69.901665,,SOUTH_AMERICA,Amazonas,,,,2007-12-05,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/DSC04704+1372444360.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04707+1372444426.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04710+1372444478.JPG,k-western-south-america,2024-10-28 13:36:27
original_1802637772_1.jpg,6365645,Besleria triflora,5.116,"Heliodoxa aurescens (Gould, 1846)",2476943,-0.482134,-77.55748,18284.0,SOUTH_AMERICA,Orellana,,,,2017-03-08T10:03:51,False,CH Hemphill,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,CH Hemphill,https://inaturalist-open-data.s3.amazonaws.com/photos/11218506/original.jpg,k-western-south-america,2024-10-28 13:36:39
original_1841288147_1.jpg,2925303,Lantana camara,26.72,"Heliodoxa aurescens (Gould, 1846)",2476943,-0.686561,-77.601325,,SOUTH_AMERICA,Napo,,,,2018-04-05T08:54,False,Laura Gaudette,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Laura Gaudette,https://inaturalist-open-data.s3.amazonaws.com/photos/17106765/original.jpg,k-western-south-america,2024-10-28 13:36:44
original_1891293846_1.jpeg,7313343,Passiflora glandulosa,9.516,"Heliodoxa aurescens (Gould, 1846)",2476943,-6.415465,-76.316686,31.0,SOUTH_AMERICA,San Martín,,,,2018-07-21T10:11,False,beastmaster,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,beastmaster,https://inaturalist-open-data.s3.amazonaws.com/photos/21860105/original.jpeg,k-western-south-america,2024-10-28 13:36:47
original_2283206833_1.jpeg,3190647,Quassia amara,1.645,"Heliodoxa aurescens (Gould, 1846)",2476943,-6.412675,-76.318307,8.0,SOUTH_AMERICA,San Martín,,,,2014-10-26T12:43,False,Randy Floyd,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Randy Floyd,https://inaturalist-open-data.s3.amazonaws.com/photos/44212586/original.jpeg,k-western-south-america,2024-10-28 13:36:58
original_2283208042_1.jpeg,2760619,Heliconia wagneriana,2.846,"Heliodoxa aurescens (Gould, 1846)",2476943,-6.41267,-76.318275,8.0,SOUTH_AMERICA,San Martín,,,,2014-10-26T12:43,False,Randy Floyd,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Randy Floyd,https://inaturalist-open-data.s3.amazonaws.com/photos/44212604/original.jpeg,k-western-south-america,2024-10-28 13:37:01
original_2447972291_1.jpeg,2756856,Costus comosus,12.979,"Heliodoxa aurescens (Gould, 1846)",2476943,-0.365908,-77.470197,42632.0,SOUTH_AMERICA,Napo,,,,2016-05-10T18:26,False,sofianogales,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,sofianogales,https://inaturalist-open-data.s3.amazonaws.com/photos/55178802/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/55178821/original.jpeg,k-western-south-america,2024-10-28 13:37:11
original_2447972291_2.jpeg,2756856,Costus comosus,16.539,"Heliodoxa aurescens (Gould, 1846)",2476943,-0.365908,-77.470197,42632.0,SOUTH_AMERICA,Napo,,,,2016-05-10T18:26,False,sofianogales,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,sofianogales,https://inaturalist-open-data.s3.amazonaws.com/photos/55178802/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/55178821/original.jpeg,k-western-south-america,2024-10-28 13:37:13
original_2563499965_2.jpeg,7342747,Ryania speciosa,1.273,"Heliodoxa aurescens (Gould, 1846)",2476943,-0.622952,-77.602818,212.0,SOUTH_AMERICA,Napo,,,,2016-09-06T13:37,False,Ben Tsai蔡維哲,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Ben Tsai蔡維哲,https://inaturalist-open-data.s3.amazonaws.com/photos/59819191/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/59819194/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/59819197/original.jpeg,k-western-south-america,2024-10-28 13:37:17
original_2563499965_3.jpeg,7342747,Ryania speciosa,3.5549999999999997,"Heliodoxa aurescens (Gould, 1846)",2476943,-0.622952,-77.602818,212.0,SOUTH_AMERICA,Napo,,,,2016-09-06T13:37,False,Ben Tsai蔡維哲,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Ben Tsai蔡維哲,https://inaturalist-open-data.s3.amazonaws.com/photos/59819191/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/59819194/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/59819197/original.jpeg,k-western-south-america,2024-10-28 13:37:18
original_2563540131_1.jpg,5349620,Erythrina fusca,4.495,"Heliodoxa aurescens (Gould, 1846)",2476943,-0.438791,-76.287192,494.0,SOUTH_AMERICA,Sucumbios,,,,2020-01-01T07:11,False,Chloe and Trevor Van Loon,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Chloe and Trevor Van Loon,https://inaturalist-open-data.s3.amazonaws.com/photos/60007300/original.jpg,k-western-south-america,2024-10-28 13:37:21
original_2574005008_1.jpeg,2930137,Solanum lycopersicum,6.062,"Heliodoxa aurescens (Gould, 1846)",2476943,-0.675134,-77.601166,,SOUTH_AMERICA,Napo,,,,2019-02-02T05:26,False,blackdogto,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,blackdogto,https://inaturalist-open-data.s3.amazonaws.com/photos/61435967/original.jpeg,k-western-south-america,2024-10-28 13:37:29
original_2574276058_1.jpg,2880642,Quercus humboldtii,4.475,"Heliodoxa aurescens (Gould, 1846)",2476943,-0.622952,-77.602818,212.0,SOUTH_AMERICA,Napo,,,,2020-01-07T12:13,False,Chloe and Trevor Van Loon,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Chloe and Trevor Van Loon,https://inaturalist-open-data.s3.amazonaws.com/photos/60782078/original.jpg,k-western-south-america,2024-10-28 13:37:36
original_2579280635_5.jpg,3189950,Paullinia pinnata,5.976,"Heliodoxa aurescens (Gould, 1846)",2476943,-0.622694,-77.601101,823.0,SOUTH_AMERICA,Napo,,,,2019-12-06T05:04,False,Andy Pearce 🕊,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Andy Pearce 🕊,https://inaturalist-open-data.s3.amazonaws.com/photos/63303488/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/63303504/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/63303517/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/63303521/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/63303530/original.jpg,k-western-south-america,2024-10-28 13:37:49
original_2597741748_1.jpeg,5302606,Renealmia alpinia,48.516999999999996,"Heliodoxa aurescens (Gould, 1846)",2476943,-0.636592,-76.149797,349.0,SOUTH_AMERICA,Orellana,,,,2019-05-25T09:53:22,False,sofiaandrade,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,sofiaandrade,https://inaturalist-open-data.s3.amazonaws.com/photos/40394287/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/40394336/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/40394387/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/40394395/original.jpeg,k-western-south-america,2024-10-28 13:37:51
