imageFileName,gbifIDPlant,speciesPlant,scorePlant,scientificNameBird,gbifIDBird,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,dateFieldsValid,creator,publisher,license,rightsHolder,identifier,projectID,identificationDateTime
15143493920_6107825c0b_b_1038685511_1.jpg,8619679,Parkinsonia praecox,90.586,"Heliomaster furcifer (Shaw, 1812)",2476998,-22.354185,-60.343647,250.0,SOUTH_AMERICA,nan,,,,2014-08-19T00:00,False,Unknown,Unknown,Unknown,Unknown,http://live.staticflickr.com/3893/15202007825_421ec79102_b.jpg; http://live.staticflickr.com/3904/15143493920_6107825c0b_b.jpg; http://live.staticflickr.com/3921/15202418521_e6137fbdb4_b.jpg; http://live.staticflickr.com/5569/15327043051_6d92758176_b.jpg,k-southern-south-america,2024-10-25 07:11:38
15202007825_421ec79102_b_1038685511_4.jpg,8619679,Parkinsonia praecox,93.90899999999999,"Heliomaster furcifer (Shaw, 1812)",2476998,-22.354185,-60.343647,250.0,SOUTH_AMERICA,nan,,,,2014-08-19T00:00,False,Unknown,Unknown,Unknown,Unknown,http://live.staticflickr.com/3893/15202007825_421ec79102_b.jpg; http://live.staticflickr.com/3904/15143493920_6107825c0b_b.jpg; http://live.staticflickr.com/3921/15202418521_e6137fbdb4_b.jpg; http://live.staticflickr.com/5569/15327043051_6d92758176_b.jpg,k-southern-south-america,2024-10-25 07:11:39
15202418521_e6137fbdb4_b_1038685511_2.jpg,8619679,Parkinsonia praecox,93.527,"Heliomaster furcifer (Shaw, 1812)",2476998,-22.354185,-60.343647,250.0,SOUTH_AMERICA,nan,,,,2014-08-19T00:00,False,Unknown,Unknown,Unknown,Unknown,http://live.staticflickr.com/3893/15202007825_421ec79102_b.jpg; http://live.staticflickr.com/3904/15143493920_6107825c0b_b.jpg; http://live.staticflickr.com/3921/15202418521_e6137fbdb4_b.jpg; http://live.staticflickr.com/5569/15327043051_6d92758176_b.jpg,k-southern-south-america,2024-10-25 07:11:41
15327043051_6d92758176_b_1038685511_3.jpg,8619679,Parkinsonia praecox,96.576,"Heliomaster furcifer (Shaw, 1812)",2476998,-22.354185,-60.343647,250.0,SOUTH_AMERICA,nan,,,,2014-08-19T00:00,False,Unknown,Unknown,Unknown,Unknown,http://live.staticflickr.com/3893/15202007825_421ec79102_b.jpg; http://live.staticflickr.com/3904/15143493920_6107825c0b_b.jpg; http://live.staticflickr.com/3921/15202418521_e6137fbdb4_b.jpg; http://live.staticflickr.com/5569/15327043051_6d92758176_b.jpg,k-southern-south-america,2024-10-25 07:11:42
original_1453077052_2.JPG,5358466,Prosopis chilensis,5.768,"Heliomaster furcifer (Shaw, 1812)",2476998,-17.833857,-63.196326,126.0,SOUTH_AMERICA,Santa Cruz,,,,2016-03-02,False,Kent Miller,iNaturalist,http://creativecommons.org/licenses/by-nd/4.0/,Kent Miller,https://inaturalist-open-data.s3.amazonaws.com/photos/3174765/original.JPG; https://inaturalist-open-data.s3.amazonaws.com/photos/3174766/original.JPG,k-western-south-america,2024-10-25 07:12:14
original_1562892506_1.jpeg,3168405,Siphocampylus foliosus,9.773,"Heliomaster furcifer (Shaw, 1812)",2476998,-26.740454,-65.770112,7839.0,SOUTH_AMERICA,Tucumán,,,,2017-02-21T12:15,False,Ezequiel Vera,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Ezequiel Vera,https://inaturalist-open-data.s3.amazonaws.com/photos/7553414/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/7553508/original.jpeg,k-southern-south-america,2024-10-25 07:12:17
original_1562892506_2.jpg,3168405,Siphocampylus foliosus,13.313,"Heliomaster furcifer (Shaw, 1812)",2476998,-26.740454,-65.770112,7839.0,SOUTH_AMERICA,Tucumán,,,,2017-02-21T12:15,False,Ezequiel Vera,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Ezequiel Vera,https://inaturalist-open-data.s3.amazonaws.com/photos/7553414/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/7553508/original.jpeg,k-southern-south-america,2024-10-25 07:12:19
original_1932347048_1.jpeg,8077391,Citrus × aurantium,72.82,"Heliomaster furcifer (Shaw, 1812)",2476998,-25.640608,-60.263652,2177.0,SOUTH_AMERICA,Chaco,,,,2016-09-05,False,Diego Carús,iNaturalist,http://creativecommons.org/publicdomain/zero/1.0/,Diego Carús,https://inaturalist-open-data.s3.amazonaws.com/photos/27167391/original.jpeg,k-southern-south-america,2024-10-25 07:12:26
original_1990545691_1.jpeg,2928606,Ipomoea amnicola,9.823,"Heliomaster furcifer (Shaw, 1812)",2476998,-27.431229,-58.966146,122.0,SOUTH_AMERICA,Chaco,,,,2014-12-13,False,Fernanda Alarcón,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Fernanda Alarcón,https://inaturalist-open-data.s3.amazonaws.com/photos/30451715/original.jpeg,k-southern-south-america,2024-10-25 07:12:28
original_1990601828_1.jpeg,2684984,Araucaria araucana,1.0710000000000002,"Heliomaster furcifer (Shaw, 1812)",2476998,-24.124712,-65.400094,65.0,SOUTH_AMERICA,Jujuy,,,,2019-01-15,False,Nicolas Olejnik,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Nicolas Olejnik,https://inaturalist-open-data.s3.amazonaws.com/photos/30709991/original.jpeg,k-southern-south-america,2024-10-25 07:12:31
