imageFileName,gbifIDPlant,speciesPlant,scorePlant,scientificNameBird,gbifIDBird,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,dateFieldsValid,creator,publisher,license,rightsHolder,identifier,projectID,identificationDateTime
38943698694_d546bcc2d6_b_1807864710_1.jpg,3900835,Salvia haenkei,3.6790000000000003,"Lafresnaya lafresnayi (Boissonneau, 1840)",2476238,-0.374137,-78.078484,250.0,SOUTH_AMERICA,nan,,,,2017-12-07T00:00,False,Unknown,Unknown,Unknown,Unknown,http://live.staticflickr.com/4652/38943698694_d546bcc2d6_b.jpg,k-western-south-america,2024-10-22 16:15:29
52218847099_47d260b56b_b_4176145981_1.jpg,3190647,Quassia amara,9.573,"Lafresnaya lafresnayi (Boissonneau, 1840)",2476238,-0.086925,-78.600166,250.0,SOUTH_AMERICA,nan,,,,2021-12-19T00:00,False,Unknown,Unknown,Unknown,Unknown,https://live.staticflickr.com/65535/52218847099_47d260b56b_b.jpg,k-western-south-america,2024-10-22 16:15:31
DSC04666+1372432978_2250604384_3.JPG,5330225,Heteropsis flexuosa,2.3009999999999997,BOLD:AAX0537,2476238,5.22,-74.596,,SOUTH_AMERICA,Caldas,,,,2002-02-21,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/DSC04666+1372432978.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04670+1372433056.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04671+1372433234.JPG,k-western-south-america,2024-10-22 16:15:39
DSC04670+1372433056_2250604384_1.JPG,5376337,Diplotaxis muralis,5.1659999999999995,BOLD:AAX0537,2476238,5.22,-74.596,,SOUTH_AMERICA,Caldas,,,,2002-02-21,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/DSC04666+1372432978.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04670+1372433056.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04671+1372433234.JPG,k-western-south-america,2024-10-22 16:15:41
IAvH-CT_17320_dorsal+1444400818_2250604277_2.JPG,2650224,Anetium citrifolium,8.193,BOLD:AAX0537,2476238,5.864,-73.113,,SOUTH_AMERICA,Boyaca,,,,nan,False,Unknown,Unknown,CreativeCommons - Attribution Share-Alike; http://creativecommons.org/licenses/by-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17320_dorsal+1444400818.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17320_lateral+1444400612.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17320_ventral+1444400658.JPG,k-western-south-america,2024-10-22 16:15:44
IAvH-CT_17373_dorsal+1444400552_2250604951_2.JPG,3589090,Aristolochia constricta,1.161,BOLD:AAX0537,2476238,0.982,-77.139,,SOUTH_AMERICA,Narino,,,,nan,False,Unknown,Unknown,CreativeCommons - Attribution Share-Alike; http://creativecommons.org/licenses/by-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17373_dorsal+1444400552.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17373_lateral+1444400414.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17373_ventral+1444400496.JPG,k-western-south-america,2024-10-22 16:15:49
IAvH-CT_17373_lateral+1444400414_2250604951_1.JPG,3589090,Aristolochia constricta,2.8770000000000002,BOLD:AAX0537,2476238,0.982,-77.139,,SOUTH_AMERICA,Narino,,,,nan,False,Unknown,Unknown,CreativeCommons - Attribution Share-Alike; http://creativecommons.org/licenses/by-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17373_dorsal+1444400552.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17373_lateral+1444400414.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_17373_ventral+1444400496.JPG,k-western-south-america,2024-10-22 16:15:50
original_1880584086_1.jpeg,2874569,Cucumis sativus,2.4330000000000003,"Lafresnaya lafresnayi (Boissonneau, 1840)",2476238,-0.124615,-78.589437,,SOUTH_AMERICA,Pichincha,,,,2017-08-07T09:39,False,guyincognito,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,guyincognito,https://inaturalist-open-data.s3.amazonaws.com/photos/20413877/original.jpeg,k-western-south-america,2024-10-22 16:16:03
original_1990509516_1.jpg,2792457,Polystachya concreta,37.294,"Lafresnaya lafresnayi (Boissonneau, 1840)",2476238,2.343382,-76.308632,244.0,SOUTH_AMERICA,Huila,,,,2019-01-12T08:46,False,Sebastián Berrío,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Sebastián Berrío,https://inaturalist-open-data.s3.amazonaws.com/photos/30291200/original.jpg,k-western-south-america,2024-10-22 16:16:09
original_2013719428_1.jpeg,3189935,Cardiospermum grandiflorum,3.4130000000000003,"Lafresnaya lafresnayi (Boissonneau, 1840)",2476238,6.41602,-76.039713,300.0,SOUTH_AMERICA,Antioquia,,,,2016-02-22T09:02,False,Jeff Harding,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Jeff Harding,https://inaturalist-open-data.s3.amazonaws.com/photos/32630697/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/32630700/original.jpeg,k-western-south-america,2024-10-22 16:16:11
original_2013719428_2.jpeg,5408996,Lobelia laxiflora,1.032,"Lafresnaya lafresnayi (Boissonneau, 1840)",2476238,6.41602,-76.039713,300.0,SOUTH_AMERICA,Antioquia,,,,2016-02-22T09:02,False,Jeff Harding,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Jeff Harding,https://inaturalist-open-data.s3.amazonaws.com/photos/32630697/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/32630700/original.jpeg,k-western-south-america,2024-10-22 16:16:12
original_2242768342_1.jpg,2979775,Acacia mearnsii,42.86,"Lafresnaya lafresnayi (Boissonneau, 1840)",2476238,4.69834,-74.027989,189.0,SOUTH_AMERICA,Cundinamarca,,,,2019-04-23T15:56,False,colibrinaosda,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,colibrinaosda,https://inaturalist-open-data.s3.amazonaws.com/photos/36299540/original.jpg,k-western-south-america,2024-10-22 16:16:17
original_2273259282_1.jpg,5580093,Crossopetalum uragoga,31.439,"Lafresnaya lafresnayi (Boissonneau, 1840)",2476238,11.108635,-74.046177,15.0,SOUTH_AMERICA,Magdalena,,,,2018-12-20T08:39,False,Cullen Hanks,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Cullen Hanks,https://inaturalist-open-data.s3.amazonaws.com/photos/42811523/original.jpg,k-western-south-america,2024-10-22 16:16:29
original_2563606308_1.jpeg,3587005,Passiflora misera,2.234,"Lafresnaya lafresnayi (Boissonneau, 1840)",2476238,4.970491,-75.378177,16.0,SOUTH_AMERICA,Caldas,,,,2015-02-26T11:35,False,Jeff Harding,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Jeff Harding,https://inaturalist-open-data.s3.amazonaws.com/photos/60317780/original.jpeg,k-western-south-america,2024-10-22 16:16:43
