imageFileName,gbifIDPlant,speciesPlant,scorePlant,scientificNameBird,gbifIDBird,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,dateFieldsValid,creator,publisher,license,rightsHolder,identifier,projectID,identificationDateTime
DSC04301+1372421892_2250604546_1.JPG,2946583,Clitoria leptostachya,1.221,BOLD:ABX4252,2476595,5.65,-73.233,,SOUTH_AMERICA,Caldas,,,,2004-08-08,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/DSC04301+1372421892.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04311+1372421986.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04316+1372422046.JPG,k-western-south-america,2024-10-25 07:43:15
DSC04316+1372422046_2250604546_2.JPG,3621740,Himatanthus articulatus,9.773,BOLD:ABX4252,2476595,5.65,-73.233,,SOUTH_AMERICA,Caldas,,,,2004-08-08,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/DSC04301+1372421892.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04311+1372421986.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04316+1372422046.JPG,k-western-south-america,2024-10-25 07:43:18
MJM_7144_IMG_2055_v+1345739552_2248818421_1.JPG,2760766,Heliconia hirsuta,0.8869999999999999,BOLD:ABX4252,2476595,8.361,-77.949,,NORTH_AMERICA,Darien,,,,nan,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial; http://creativecommons.org/licenses/by-nc/4.0/,Unknown,http://www.boldsystems.org/pics/BSPBB/MJM_7144_IMG_2055_v+1345739552.JPG; http://www.boldsystems.org/pics/BSPBB/MJM_7144_IMG_2056_l+1345739552.JPG; http://www.boldsystems.org/pics/BSPBB/MJM_7144_IMG_2057_d+1345739550.JPG,k-central-america,2024-10-25 07:43:20
MJM_7144_IMG_2057_d+1345739550_2248818421_2.JPG,2951411,Mucuna rostrata,0.812,BOLD:ABX4252,2476595,8.361,-77.949,,NORTH_AMERICA,Darien,,,,nan,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial; http://creativecommons.org/licenses/by-nc/4.0/,Unknown,http://www.boldsystems.org/pics/BSPBB/MJM_7144_IMG_2055_v+1345739552.JPG; http://www.boldsystems.org/pics/BSPBB/MJM_7144_IMG_2056_l+1345739552.JPG; http://www.boldsystems.org/pics/BSPBB/MJM_7144_IMG_2057_d+1345739550.JPG,k-central-america,2024-10-25 07:43:22
MJM_7322_IMG_2195_v+1345739598_2248820244_1.JPG,2704103,Bothriochloa saccharoides,0.5349999999999999,BOLD:ABX4252,2476595,8.361,-77.949,,NORTH_AMERICA,Darien,,,,nan,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial; http://creativecommons.org/licenses/by-nc/4.0/,Unknown,http://www.boldsystems.org/pics/BSPBB/MJM_7322_IMG_2195_v+1345739598.JPG; http://www.boldsystems.org/pics/BSPBB/MJM_7322_IMG_2196_l+1345739600.JPG,k-central-america,2024-10-25 07:43:28
MJM_7322_IMG_2196_l+1345739600_2248820244_2.JPG,5288518,Pitcairnia heterophylla,11.931,BOLD:ABX4252,2476595,8.361,-77.949,,NORTH_AMERICA,Darien,,,,nan,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial; http://creativecommons.org/licenses/by-nc/4.0/,Unknown,http://www.boldsystems.org/pics/BSPBB/MJM_7322_IMG_2195_v+1345739598.JPG; http://www.boldsystems.org/pics/BSPBB/MJM_7322_IMG_2196_l+1345739600.JPG,k-central-america,2024-10-25 07:43:30
original_1677343506_1.jpg,6686326,Melochia pyramidata,9.824,"Phaethornis anthophilus (Bourcier, 1843)",2476595,11.225837,-74.186862,,SOUTH_AMERICA,Magdalena,,,,2017-10-24,False,Juan David Jimenez,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Juan David Jimenez,https://inaturalist-open-data.s3.amazonaws.com/photos/11403549/original.jpg,k-western-south-america,2024-10-25 07:43:43
original_1831164977_1.jpg,3152559,Hibiscus rosa-sinensis,8.315999999999999,"Phaethornis anthophilus (Bourcier, 1843)",2476595,8.257644,-78.272106,,NORTH_AMERICA,Darién,,,,2009-03-19,False,Scott Bowers,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Scott Bowers,https://inaturalist-open-data.s3.amazonaws.com/photos/13384849/original.jpg,k-central-america,2024-10-25 07:43:45
original_1836572435_1.jpeg,5320021,Epidendrum nocturnum,52.519000000000005,"Phaethornis anthophilus (Bourcier, 1843)",2476595,4.073816,-73.584785,8.0,SOUTH_AMERICA,Meta,,,,2018-03-03,False,Iniciativa Biota Orinoquia,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Iniciativa Biota Orinoquia,https://inaturalist-open-data.s3.amazonaws.com/photos/13874608/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/13874629/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/13874653/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/13874679/original.jpeg,k-western-south-america,2024-10-25 07:43:47
original_1836572435_2.jpeg,2970463,Brownea grandiceps,25.032,"Phaethornis anthophilus (Bourcier, 1843)",2476595,4.073816,-73.584785,8.0,SOUTH_AMERICA,Meta,,,,2018-03-03,False,Iniciativa Biota Orinoquia,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Iniciativa Biota Orinoquia,https://inaturalist-open-data.s3.amazonaws.com/photos/13874608/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/13874629/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/13874653/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/13874679/original.jpeg,k-western-south-america,2024-10-25 07:43:49
