imageFileName,gbifIDPlant,speciesPlant,scorePlant,scientificNameBird,gbifIDBird,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,dateFieldsValid,creator,publisher,license,rightsHolder,identifier,projectID,identificationDateTime
DSC04818+1372445946_2250604482_1.JPG,8382405,Ceiba trischistandra,1.207,BOLD:AAB0518,2476619,5.664333,-70.24264,,SOUTH_AMERICA,Casanare,,,,nan,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/DSC04818+1372445946.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04822+1372445984.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04825+1372446022.JPG,k-western-south-america,2024-10-25 22:19:16
DSC04825+1372446022_2250604482_2.JPG,2870182,Stenospermation spruceanum,3.029,BOLD:AAB0518,2476619,5.664333,-70.24264,,SOUTH_AMERICA,Casanare,,,,nan,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/DSC04818+1372445946.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04822+1372445984.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04825+1372446022.JPG,k-western-south-america,2024-10-25 22:19:18
IAvH-A-16229_D+1533159662_2633361162_4.JPG,2946583,Clitoria leptostachya,1.192,BOLD:ADM7112,2476619,4.524,-73.427,,SOUTH_AMERICA,Cundinamarca,,,,2018-03-15,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/CBIHB/IAvH-A-16229_D+1533159662.JPG; http://www.boldsystems.org/pics/CBIHB/IAvH-A-16229_L1+1533159556.JPG; http://www.boldsystems.org/pics/CBIHB/IAvH-A-16229_L2+1533159608.JPG; http://www.boldsystems.org/pics/CBIHB/IAvH-A-16229_V+1533513906.JPG,k-western-south-america,2024-10-25 22:19:20
IAvH-A-16229_L1+1533159556_2633361162_1.JPG,8189542,Bignonia nocturna,2.9899999999999998,BOLD:ADM7112,2476619,4.524,-73.427,,SOUTH_AMERICA,Cundinamarca,,,,2018-03-15,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/CBIHB/IAvH-A-16229_D+1533159662.JPG; http://www.boldsystems.org/pics/CBIHB/IAvH-A-16229_L1+1533159556.JPG; http://www.boldsystems.org/pics/CBIHB/IAvH-A-16229_L2+1533159608.JPG; http://www.boldsystems.org/pics/CBIHB/IAvH-A-16229_V+1533513906.JPG,k-western-south-america,2024-10-25 22:19:21
original_1802599653_1.jpg,2760766,Heliconia hirsuta,97.036,"Phaethornis hispidus (Gould, 1846)",2476619,-12.8955,-71.4038,,SOUTH_AMERICA,Cusco,,,,2014-08-21T14:38:11,False,Nicole LaRoche,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Nicole LaRoche,https://inaturalist-open-data.s3.amazonaws.com/photos/1315640/original.jpg,k-western-south-america,2024-10-25 22:19:50
original_1978413382_1.jpeg,5302530,Renealmia cernua,0.414,"Phaethornis hispidus (Gould, 1846)",2476619,-3.473687,-72.515478,211.0,SOUTH_AMERICA,Loreto,,,,2018-05-02T13:33,False,Anthony Giardenelli,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Anthony Giardenelli,https://inaturalist-open-data.s3.amazonaws.com/photos/17749721/original.jpeg,k-western-south-america,2024-10-25 22:19:53
original_2273292785_1.jpg,7275879,Souroubea guianensis,2.263,"Phaethornis hispidus (Gould, 1846)",2476619,2.9486,-73.24234,,SOUTH_AMERICA,Meta,,,,2019-05-04,False,Jhon Velasquez,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Jhon Velasquez,https://inaturalist-open-data.s3.amazonaws.com/photos/43031041/original.jpg,k-western-south-america,2024-10-25 22:19:55
original_2451650025_1.jpeg,5556447,Clusia grandiflora,3.402,"Phaethornis hispidus (Gould, 1846)",2476619,-9.753121,-67.669512,31.0,SOUTH_AMERICA,Acre,,,,2017-06-13T08:44,False,David Pedroza Guimarães,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,David Pedroza Guimarães,https://inaturalist-open-data.s3.amazonaws.com/photos/55116152/original.jpeg,k-brazil,2024-10-25 22:19:59
original_2563573683_2.jpg,2705733,Oplismenus compositus,17.459,"Phaethornis hispidus (Gould, 1846)",2476619,-0.473694,-76.317472,1530.0,SOUTH_AMERICA,Sucumbios,,,,2020-01-02T07:18,False,Chloe and Trevor Van Loon,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Chloe and Trevor Van Loon,https://inaturalist-open-data.s3.amazonaws.com/photos/60164376/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/60164385/original.jpg,k-western-south-america,2024-10-25 22:20:04
original_2603293187_1.jpeg,5302606,Renealmia alpinia,1.43,"Phaethornis hispidus (Gould, 1846)",2476619,-12.614049,-69.111896,488.0,SOUTH_AMERICA,Madre de Dios,,,,2018-06-15T13:20,False,jessebugz,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,jessebugz,https://inaturalist-open-data.s3.amazonaws.com/photos/66543921/original.jpeg,k-western-south-america,2024-10-25 22:20:09
