imageFileName,gbifIDPlant,speciesPlant,scorePlant,scientificNameBird,gbifIDBird,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,dateFieldsValid,creator,publisher,license,rightsHolder,identifier,projectID,identificationDateTime
52597525272_18bb054016_b_4175125472_1.jpg,2761987,Calathea lutea,92.794,"Phaethornis superciliosus (Linnaeus, 1766)",2476573,8.698018,-83.210968,250.0,NORTH_AMERICA,nan,,,,2011-01-19T00:00,False,Unknown,Unknown,Unknown,Unknown,https://live.staticflickr.com/65535/52597525272_18bb054016_b.jpg,k-central-america,2024-10-24 03:14:29
IAvH-CT_8127dorsal+1409235310_2250605248_2.JPG,8735243,Gaulettia canomensis,1.27,BOLD:AAB0517,2476573,4.559,-68.198,,SOUTH_AMERICA,Vichada,,,,2007-03-14,False,Unknown,Unknown,CreativeCommons - Attribution Share-Alike; http://creativecommons.org/licenses/by-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/IAvH-CT_8127dorsal+1409235310.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_8127lateral+1409235328.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_8127ventral+1409235350.JPG,k-western-south-america,2024-10-24 03:14:44
IAvH-CT_8127lateral+1409235328_2250605248_1.JPG,8735243,Gaulettia canomensis,0.7020000000000001,BOLD:AAB0517,2476573,4.559,-68.198,,SOUTH_AMERICA,Vichada,,,,2007-03-14,False,Unknown,Unknown,CreativeCommons - Attribution Share-Alike; http://creativecommons.org/licenses/by-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/IAvH-CT_8127dorsal+1409235310.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_8127lateral+1409235328.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_8127ventral+1409235350.JPG,k-western-south-america,2024-10-24 03:14:45
IAvH-CT_8127ventral+1409235350_2250605248_3.JPG,2650905,Oleandra articulata,3.563,BOLD:AAB0517,2476573,4.559,-68.198,,SOUTH_AMERICA,Vichada,,,,2007-03-14,False,Unknown,Unknown,CreativeCommons - Attribution Share-Alike; http://creativecommons.org/licenses/by-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/IAvH-CT_8127dorsal+1409235310.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_8127lateral+1409235328.JPG; http://www.boldsystems.org/pics/IAVHB/IAvH-CT_8127ventral+1409235350.JPG,k-western-south-america,2024-10-24 03:14:47
original_1453209864_1.jpg,5331164,Flacourtia jangomas,1.847,"Phaethornis superciliosus (Linnaeus, 1766)",2476573,3.592062,-53.16679,1826.0,SOUTH_AMERICA,Saint-Laurent-du-Maroni,,,,2016-11-02T08:43,False,Julien Renoult,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Julien Renoult,https://inaturalist-open-data.s3.amazonaws.com/photos/5489623/original.jpg,k-northern-south-america,2024-10-24 03:15:29
original_1948788023_1.jpg,4117325,Pariana campestris,17.657,"Phaethornis superciliosus (Linnaeus, 1766)",2476573,4.254659,-58.866119,,SOUTH_AMERICA,Potaro-Siparuni,,,,2012-11-11T16:29:12,False,Allan Hopkins,iNaturalist,http://creativecommons.org/licenses/by-nc-nd/4.0/,Allan Hopkins,https://inaturalist-open-data.s3.amazonaws.com/photos/247300/original.jpg,k-northern-south-america,2024-10-24 03:15:31
original_3008551810_1.jpg,2943522,Eperua falcata,17.677,"Phaethornis superciliosus (Linnaeus, 1766)",2476573,3.631521,-53.203032,244.0,SOUTH_AMERICA,Saint-Laurent-du-Maroni,,,,2017-01-07T21:30,False,Xavier Rufray,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Xavier Rufray,https://inaturalist-open-data.s3.amazonaws.com/photos/107835405/original.jpg,k-northern-south-america,2024-10-24 03:15:41
original_3058810457_1.jpeg,4127578,Guadua weberbaueri,3.6929999999999996,"Phaethornis superciliosus muelleri Hellmayr, 1911",2476573,-3.79144,-46.113985,10403.0,SOUTH_AMERICA,Maranhão,,,,2018-01-16,False,Gustavo Gonsioroski,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Gustavo Gonsioroski,https://inaturalist-open-data.s3.amazonaws.com/photos/67531599/original.jpeg,k-brazil,2024-10-24 03:15:46
original_3070401548_1.jpeg,2943522,Eperua falcata,4.808,"Phaethornis superciliosus (Linnaeus, 1766)",2476573,-3.006241,-59.939868,189.0,SOUTH_AMERICA,Amazonas,,,,2016-04-13T09:43:35,False,Tomaz Nascimento de Melo,iNaturalist,http://creativecommons.org/licenses/by-nc-nd/4.0/,Tomaz Nascimento de Melo,https://inaturalist-open-data.s3.amazonaws.com/photos/117540137/original.jpeg,k-brazil,2024-10-24 03:15:49
original_3079852815_1.jpg,Unknown,Unknown,0,"Phaethornis superciliosus (Linnaeus, 1766)",2476573,-3.003247,-59.93969,211.0,SOUTH_AMERICA,Amazonas,,,,2019-05-01,False,Luciano Bernardes,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Luciano Bernardes,https://inaturalist-open-data.s3.amazonaws.com/photos/119156726/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/119156740/original.jpg,k-brazil,2024-10-24 03:15:51
