imageFileName,gbifIDPlant,speciesPlant,scorePlant,scientificNameBird,gbifIDBird,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,dateFieldsValid,creator,publisher,license,rightsHolder,identifier,projectID,identificationDateTime
DSC04558+1372428648_2250603821_1.JPG,2869443,Dieffenbachia parvifolia,3.63,BOLD:AAU4003,2477024,4.532,-67.909,,SOUTH_AMERICA,Vichada,,,,2007-03-09,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/DSC04558+1372428648.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04562+1372428744.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04565+1372430938.JPG,k-western-south-america,2024-10-21 18:10:36
DSC04562+1372428744_2250603821_3.JPG,2695645,Tillandsia bulbosa,2.688,BOLD:AAU4003,2477024,4.532,-67.909,,SOUTH_AMERICA,Vichada,,,,2007-03-09,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/DSC04558+1372428648.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04562+1372428744.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04565+1372430938.JPG,k-western-south-america,2024-10-21 18:10:38
DSC04565+1372430938_2250603821_2.JPG,3621740,Himatanthus articulatus,8.279,BOLD:AAU4003,2477024,4.532,-67.909,,SOUTH_AMERICA,Vichada,,,,2007-03-09,False,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/IAVHB/DSC04558+1372428648.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04562+1372428744.JPG; http://www.boldsystems.org/pics/IAVHB/DSC04565+1372430938.JPG,k-western-south-america,2024-10-21 18:10:39
default_1039649527_2.jpg,3763651,Maquira sclerophylla,0.269,Polytmus theresiae theresiae,2477024,3.9017,-56.18,500.0,SOUTH_AMERICA,nan,,,,2005-12-11,False,Kristof Zyskowski,Unknown,http://creativecommons.org/publicdomain/zero/1.0/,Unknown,https://images.collections.yale.edu/iiif/2/ypm:1c0f3e88-0197-4d58-84be-9849c8fe6e16/full/full/0/default.jpg; https://images.collections.yale.edu/iiif/2/ypm:2ab1256e-6618-4058-87a8-6f8dad262196/full/full/0/default.jpg; https://images.collections.yale.edu/iiif/2/ypm:b6d767e7-14a3-4565-9cc5-1e506f004b5b/full/full/0/default.jpg,k-northern-south-america,2024-10-21 18:10:52
default_1039649527_3.jpg,3083512,Anredera vesicaria,0.348,Polytmus theresiae theresiae,2477024,3.9017,-56.18,500.0,SOUTH_AMERICA,nan,,,,2005-12-11,False,Kristof Zyskowski,Unknown,http://creativecommons.org/publicdomain/zero/1.0/,Unknown,https://images.collections.yale.edu/iiif/2/ypm:1c0f3e88-0197-4d58-84be-9849c8fe6e16/full/full/0/default.jpg; https://images.collections.yale.edu/iiif/2/ypm:2ab1256e-6618-4058-87a8-6f8dad262196/full/full/0/default.jpg; https://images.collections.yale.edu/iiif/2/ypm:b6d767e7-14a3-4565-9cc5-1e506f004b5b/full/full/0/default.jpg,k-northern-south-america,2024-10-21 18:10:53
original_2311305657_1.jpg,4004147,Tripodanthus acutifolius,2.464,"Polytmus theresiae (Da Silva Maia, 1843)",2477024,-2.802871,-60.055795,31.0,SOUTH_AMERICA,Amazonas,,,,2016-10-20,False,Eden Fontes,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Eden Fontes,https://inaturalist-open-data.s3.amazonaws.com/photos/45639780/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/45639800/original.jpg,k-brazil,2024-10-21 18:10:55
original_2311305657_2.jpg,7831077,Roupala montana,18.001,"Polytmus theresiae (Da Silva Maia, 1843)",2477024,-2.802871,-60.055795,31.0,SOUTH_AMERICA,Amazonas,,,,2016-10-20,False,Eden Fontes,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Eden Fontes,https://inaturalist-open-data.s3.amazonaws.com/photos/45639780/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/45639800/original.jpg,k-brazil,2024-10-21 18:10:57
original_2445145446_1.jpg,7309398,Vitex megapotamica,1.166,"Polytmus theresiae (Da Silva Maia, 1843)",2477024,-7.516938,-63.029843,216951.0,SOUTH_AMERICA,Amazonas,,,,2015-07-07,False,Martin Acosta,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Martin Acosta,https://inaturalist-open-data.s3.amazonaws.com/photos/36398158/original.jpg,k-brazil,2024-10-21 18:11:00
original_2579215657_1.jpg,3190118,Zanthoxylum caribaeum,0.889,"Polytmus theresiae (Da Silva Maia, 1843)",2477024,5.405314,-54.282533,7813.0,SOUTH_AMERICA,Marowijne,,,,2019-06-16T15:06,False,Gerry van Tonder,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Gerry van Tonder,https://inaturalist-open-data.s3.amazonaws.com/photos/42204846/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/42204885/original.jpg,k-northern-south-america,2024-10-21 18:11:02
original_3079836742_1.jpg,7981652,Rhabdadenia biflora,7.9079999999999995,"Polytmus theresiae (Da Silva Maia, 1843)",2477024,-3.254754,-60.637047,8003.0,SOUTH_AMERICA,Amazonas,,,,2015-09-23,False,Luciano Bernardes,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Luciano Bernardes,https://inaturalist-open-data.s3.amazonaws.com/photos/119157150/original.jpg,k-brazil,2024-10-21 18:11:17
