imageFileName,gbifIDPlant,speciesPlant,scorePlant,scientificNameBird,gbifIDBird,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,dateFieldsValid,creator,publisher,license,rightsHolder,identifier,projectID,identificationDateTime
32464295298_2111f388c2_b_1950893945_1.jpg,2695588,Tillandsia recurvata,4.186999999999999,"Chlorostilbon swainsonii (R.Lesson, 1829)",10986504,18.915632,-70.728073,250.0,NORTH_AMERICA,nan,2015,12,5,2015-12-05T00:00,True,Unknown,Unknown,Unknown,Unknown,https://live.staticflickr.com/4863/32464295298_2111f388c2_b.jpg,k-caribbean,2024-10-21 19:49:10
32546685788_3728fe32b4_b_1978481121_1.jpg,2953871,Bauhinia purpurea,49.336,"Chlorostilbon swainsonii (R.Lesson, 1829)",10986504,18.688976,-68.417061,250.0,NORTH_AMERICA,nan,2015,10,31,2015-10-31T00:00,True,Unknown,Unknown,Unknown,Unknown,https://live.staticflickr.com/7870/32546685788_3728fe32b4_b.jpg,k-caribbean,2024-10-21 19:49:12
original_1453070930_1.jpg,2930137,Solanum lycopersicum,9.178,"Riccordia swainsonii (R.Lesson, 1829)",10986504,19.1393,-70.9733,2480.0,NORTH_AMERICA,Santiago,2016,1,2,2016-01-02,True,Francis Reyes,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Francis Reyes,https://inaturalist-open-data.s3.amazonaws.com/photos/2854475/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/2854476/original.jpg,k-caribbean,2024-10-21 19:49:15
original_1453070930_2.jpg,2930137,Solanum lycopersicum,2.976,"Riccordia swainsonii (R.Lesson, 1829)",10986504,19.1393,-70.9733,2480.0,NORTH_AMERICA,Santiago,2016,1,2,2016-01-02,True,Francis Reyes,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Francis Reyes,https://inaturalist-open-data.s3.amazonaws.com/photos/2854475/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/2854476/original.jpg,k-caribbean,2024-10-21 19:49:17
original_1453162265_1.jpg,3084466,Selenicereus grandiflorus,2.522,"Riccordia swainsonii (R.Lesson, 1829)",10986504,19.643525,-70.856881,76.0,NORTH_AMERICA,Puerto Plata,2014,9,13,2014-09-13T12:18,True,Lisa Johnson,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Lisa Johnson,https://inaturalist-open-data.s3.amazonaws.com/photos/5304227/original.jpg,k-caribbean,2024-10-21 19:49:20
original_1562885231_1.jpeg,2874569,Cucumis sativus,0.428,"Riccordia swainsonii (R.Lesson, 1829)",10986504,19.048929,-70.954342,244.0,NORTH_AMERICA,Santiago,2013,2,17,2013-02-17,True,tapaculo99,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,tapaculo99,https://inaturalist-open-data.s3.amazonaws.com/photos/6631486/original.jpeg,k-caribbean,2024-10-21 19:49:23
original_1562885235_1.jpeg,2874569,Cucumis sativus,0.54,"Riccordia swainsonii (R.Lesson, 1829)",10986504,19.039784,-70.963697,122.0,NORTH_AMERICA,Santiago,2013,2,17,2013-02-17,True,tapaculo99,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,tapaculo99,https://inaturalist-open-data.s3.amazonaws.com/photos/6631495/original.jpeg,k-caribbean,2024-10-21 19:49:25
original_1571179846_1.jpeg,5406696,Ceiba aesculifolia,40.731,"Riccordia swainsonii (R.Lesson, 1829)",10986504,19.09647,-70.595849,31.0,NORTH_AMERICA,La Vega,2017,6,10,2017-06-10T22:21,True,AJ Johnson,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,AJ Johnson,https://inaturalist-open-data.s3.amazonaws.com/photos/8627825/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/8627826/original.jpeg,k-caribbean,2024-10-21 19:49:28
original_1571179846_2.jpeg,5406696,Ceiba aesculifolia,22.962,"Riccordia swainsonii (R.Lesson, 1829)",10986504,19.09647,-70.595849,31.0,NORTH_AMERICA,La Vega,2017,6,10,2017-06-10T22:21,True,AJ Johnson,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,AJ Johnson,https://inaturalist-open-data.s3.amazonaws.com/photos/8627825/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/8627826/original.jpeg,k-caribbean,2024-10-21 19:49:29
original_1946350072_1.jpg,5414250,Ilex vomitoria,3.094,"Riccordia swainsonii (R.Lesson, 1829)",10986504,19.644267,-70.857182,61.0,NORTH_AMERICA,Puerto Plata,2018,11,27,2018-11-27,True,Lisa Johnson,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Lisa Johnson,https://inaturalist-open-data.s3.amazonaws.com/photos/28595178/original.jpg,k-caribbean,2024-10-21 19:49:35
original_1948742755_1.jpg,5575932,Odontonema tubaeforme,67.861,"Riccordia swainsonii (R.Lesson, 1829)",10986504,19.644267,-70.857182,61.0,NORTH_AMERICA,Puerto Plata,2018,11,27,2018-11-27,True,Lisa Johnson,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Lisa Johnson,https://inaturalist-open-data.s3.amazonaws.com/photos/28595207/original.jpg,k-caribbean,2024-10-21 19:49:37
original_1986526845_3.jpg,2902066,Hamelia patens,68.434,"Riccordia swainsonii (R.Lesson, 1829)",10986504,18.722054,-71.714499,61.0,NORTH_AMERICA,La Estrelleta,2018,9,23,2018-09-23T08:51,True,mmaymi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,mmaymi,https://inaturalist-open-data.s3.amazonaws.com/photos/29628443/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/29628604/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/29628612/original.jpg,k-caribbean,2024-10-21 19:49:43
