imageFileName,gbifIDPlant,speciesPlant,scorePlant,scientificNameBird,gbifIDBird,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,dateFieldsValid,creator,publisher,license,rightsHolder,identifier,projectID,identificationDateTime
48948759903_174c811548_b_2449394401_1.jpg,3623397,Gurania lobata,0.373,"Sappho sparganurus (Shaw, 1812)",7544330,-16.56686,-68.094002,25.0,SOUTH_AMERICA,nan,2019,10,6,2019-10-06T00:00,True,Unknown,Unknown,Unknown,Unknown,https://live.staticflickr.com/65535/48948759903_174c811548_b.jpg; https://live.staticflickr.com/65535/48949302581_8e9aa6be6a_b.jpg; https://live.staticflickr.com/65535/48949302926_2ac60d55a1_b.jpg; https://live.staticflickr.com/65535/48949303236_dcffc72ab3_b.jpg,k-western-south-america,2024-10-22 15:33:15
48949302581_8e9aa6be6a_b_2449394401_3.jpg,Unknown,Unknown,0,"Sappho sparganurus (Shaw, 1812)",7544330,-16.56686,-68.094002,25.0,SOUTH_AMERICA,nan,2019,10,6,2019-10-06T00:00,True,Unknown,Unknown,Unknown,Unknown,https://live.staticflickr.com/65535/48948759903_174c811548_b.jpg; https://live.staticflickr.com/65535/48949302581_8e9aa6be6a_b.jpg; https://live.staticflickr.com/65535/48949302926_2ac60d55a1_b.jpg; https://live.staticflickr.com/65535/48949303236_dcffc72ab3_b.jpg,k-western-south-america,2024-10-22 15:33:17
48949302926_2ac60d55a1_b_2449394401_4.jpg,3623397,Gurania lobata,0.361,"Sappho sparganurus (Shaw, 1812)",7544330,-16.56686,-68.094002,25.0,SOUTH_AMERICA,nan,2019,10,6,2019-10-06T00:00,True,Unknown,Unknown,Unknown,Unknown,https://live.staticflickr.com/65535/48948759903_174c811548_b.jpg; https://live.staticflickr.com/65535/48949302581_8e9aa6be6a_b.jpg; https://live.staticflickr.com/65535/48949302926_2ac60d55a1_b.jpg; https://live.staticflickr.com/65535/48949303236_dcffc72ab3_b.jpg,k-western-south-america,2024-10-22 15:33:19
48949303236_dcffc72ab3_b_2449394401_2.jpg,3190642,Schinus molle,8.906,"Sappho sparganurus (Shaw, 1812)",7544330,-16.56686,-68.094002,25.0,SOUTH_AMERICA,nan,2019,10,6,2019-10-06T00:00,True,Unknown,Unknown,Unknown,Unknown,https://live.staticflickr.com/65535/48948759903_174c811548_b.jpg; https://live.staticflickr.com/65535/48949302581_8e9aa6be6a_b.jpg; https://live.staticflickr.com/65535/48949302926_2ac60d55a1_b.jpg; https://live.staticflickr.com/65535/48949303236_dcffc72ab3_b.jpg,k-western-south-america,2024-10-22 15:33:20
MACN-Or-ct_9868D+1578423346_4912648902_5.JPG,3172647,Ibicella lutea,1.187,BOLD:AAE9453,7544330,-31.69,-64.85,,SOUTH_AMERICA,Cordoba,2019,11,8,2019-11-08,True,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868A+1578608790.JPG; http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868C+1578608858.JPG; http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868D+1578423346.JPG; http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868_MACN_Or_73943+1578608498.JPG; http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868_MACN_Or_73943_b+1578608628.JPG; http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868_MACN_Or_73943_c+1578608684.JPG,k-southern-south-america,2024-10-22 15:33:25
MACN-Or-ct_9868_MACN_Or_73943+1578608498_4912648902_1.JPG,5545304,Ludwigia helminthorrhiza,0.618,BOLD:AAE9453,7544330,-31.69,-64.85,,SOUTH_AMERICA,Cordoba,2019,11,8,2019-11-08,True,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868A+1578608790.JPG; http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868C+1578608858.JPG; http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868D+1578423346.JPG; http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868_MACN_Or_73943+1578608498.JPG; http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868_MACN_Or_73943_b+1578608628.JPG; http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868_MACN_Or_73943_c+1578608684.JPG,k-southern-south-america,2024-10-22 15:33:26
MACN-Or-ct_9868_MACN_Or_73943_b+1578608628_4912648902_2.JPG,7283892,Praecereus euchlorus,1.471,BOLD:AAE9453,7544330,-31.69,-64.85,,SOUTH_AMERICA,Cordoba,2019,11,8,2019-11-08,True,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868A+1578608790.JPG; http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868C+1578608858.JPG; http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868D+1578423346.JPG; http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868_MACN_Or_73943+1578608498.JPG; http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868_MACN_Or_73943_b+1578608628.JPG; http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868_MACN_Or_73943_c+1578608684.JPG,k-southern-south-america,2024-10-22 15:33:28
MACN-Or-ct_9868_MACN_Or_73943_c+1578608684_4912648902_6.JPG,2929091,Solanum caavurana,1.7239999999999998,BOLD:AAE9453,7544330,-31.69,-64.85,,SOUTH_AMERICA,Cordoba,2019,11,8,2019-11-08,True,Unknown,Unknown,CreativeCommons - Attribution Non-Commercial Share-Alike; http://creativecommons.org/licenses/by-nc-sa/4.0/,Unknown,http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868A+1578608790.JPG; http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868C+1578608858.JPG; http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868D+1578423346.JPG; http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868_MACN_Or_73943+1578608498.JPG; http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868_MACN_Or_73943_b+1578608628.JPG; http://www.boldsystems.org/pics/BARGN/MACN-Or-ct_9868_MACN_Or_73943_c+1578608684.JPG,k-southern-south-america,2024-10-22 15:33:29
original_1227769477_1.jpg,9220780,Crataegus monogyna,4.882000000000001,"Sappho sparganurus (Shaw, 1812)",7544330,-33.026408,-68.904743,23.0,SOUTH_AMERICA,Mendoza,2016,1,1,2016-01-01T20:22:38,True,Guillermo Debandi,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Guillermo Debandi,https://inaturalist-open-data.s3.amazonaws.com/photos/2840907/original.jpg,k-southern-south-america,2024-10-22 15:33:51
original_1500339350_1.jpg,3168395,Siphocampylus nemoralis,15.318999999999999,"Sappho sparganurus (Shaw, 1812)",7544330,-26.740454,-65.770112,7839.0,SOUTH_AMERICA,Tucumán,2017,2,21,2017-02-21T12:18,True,Ezequiel Vera,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Ezequiel Vera,https://inaturalist-open-data.s3.amazonaws.com/photos/7553486/original.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/7553493/original.jpg,k-southern-south-america,2024-10-22 15:33:54
