imageFileName,gbifIDPlant,speciesPlant,scorePlant,scientificNameBird,gbifIDBird,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,dateFieldsValid,creator,publisher,license,rightsHolder,identifier,projectID,identificationDateTime
original_1092896110_1.JPG,3189635,Camellia sinensis,2.32,"Sephanoides sephaniodes (R.Lesson & Garnot, 1827)",2476817,-29.965429,-71.352757,,SOUTH_AMERICA,Coquimbo,2015,5,24,2015-05-24,True,José Miguel Taiba,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,José Miguel Taiba,https://inaturalist-open-data.s3.amazonaws.com/photos/1907229/original.JPG,k-southern-south-america,2024-10-25 16:22:47
original_1586085590_1.jpg,5288819,Ananas comosus,0.13999999999999999,"Sephanoides sephaniodes (R.Lesson & Garnot, 1827)",2476817,-36.82859,-73.035196,65.0,SOUTH_AMERICA,Bío-Bío,2015,8,29,2015-08-29T12:30:45,True,Erasmo Macaya Horta,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Erasmo Macaya Horta,https://inaturalist-open-data.s3.amazonaws.com/photos/4159207/original.jpg,k-southern-south-america,2024-10-25 16:22:51
original_1640059198_1.jpg,7328325,Gaultheria phillyreifolia,14.509,"Sephanoides sephaniodes (R.Lesson & Garnot, 1827)",2476817,-43.062363,-73.543239,5504.0,SOUTH_AMERICA,Los Lagos,2017,8,27,2017-08-27T13:17:13,True,El Gurkha,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,El Gurkha,https://inaturalist-open-data.s3.amazonaws.com/photos/10049764/original.jpg,k-southern-south-america,2024-10-25 16:22:58
original_1668882934_3.jpeg,5285727,Pinus radiata,7.818,"Sephanoides sephaniodes (R.Lesson & Garnot, 1827)",2476817,-36.712814,-71.834488,,SOUTH_AMERICA,Bío-Bío,2017,10,1,2017-10-01T13:35:49,True,Víctor Vega Morend,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Víctor Vega Morend,https://inaturalist-open-data.s3.amazonaws.com/photos/10870394/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/10870499/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/10870516/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/10870894/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/10870930/original.jpeg,k-southern-south-america,2024-10-25 16:23:05
original_1668892880_3.jpeg,5372952,Salix caprea,12.884,"Sephanoides sephaniodes (R.Lesson & Garnot, 1827)",2476817,-41.26276,-73.00402,30.0,SOUTH_AMERICA,Los Lagos,2017,9,6,2017-09-06,True,Jorge Eduardo Gallardo Fuentes,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Jorge Eduardo Gallardo Fuentes,https://inaturalist-open-data.s3.amazonaws.com/photos/10928693/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/10928694/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/10928695/original.jpeg,k-southern-south-america,2024-10-25 16:23:12
original_1802638802_1.jpeg,5372914,Salix humboldtiana,1.592,"Sephanoides sephaniodes (R.Lesson & Garnot, 1827)",2476817,-41.26276,-73.00402,,SOUTH_AMERICA,Los Lagos,2017,9,27,2017-09-27,True,Jorge Eduardo Gallardo Fuentes,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Jorge Eduardo Gallardo Fuentes,https://inaturalist-open-data.s3.amazonaws.com/photos/11359403/original.jpeg,k-southern-south-america,2024-10-25 16:23:14
original_1802638809_1.jpeg,5372952,Salix caprea,0.754,"Sephanoides sephaniodes (R.Lesson & Garnot, 1827)",2476817,-41.26251,-73.004082,150.0,SOUTH_AMERICA,Los Lagos,2017,9,27,2017-09-27,True,Jorge Eduardo Gallardo Fuentes,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Jorge Eduardo Gallardo Fuentes,https://inaturalist-open-data.s3.amazonaws.com/photos/11359918/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/11359919/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/11359920/original.jpeg,k-southern-south-america,2024-10-25 16:23:16
original_1802638809_2.jpeg,5372952,Salix caprea,2.0629999999999997,"Sephanoides sephaniodes (R.Lesson & Garnot, 1827)",2476817,-41.26251,-73.004082,150.0,SOUTH_AMERICA,Los Lagos,2017,9,27,2017-09-27,True,Jorge Eduardo Gallardo Fuentes,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Jorge Eduardo Gallardo Fuentes,https://inaturalist-open-data.s3.amazonaws.com/photos/11359918/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/11359919/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/11359920/original.jpeg,k-southern-south-america,2024-10-25 16:23:18
original_1802638809_3.jpeg,5372914,Salix humboldtiana,1.044,"Sephanoides sephaniodes (R.Lesson & Garnot, 1827)",2476817,-41.26251,-73.004082,150.0,SOUTH_AMERICA,Los Lagos,2017,9,27,2017-09-27,True,Jorge Eduardo Gallardo Fuentes,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Jorge Eduardo Gallardo Fuentes,https://inaturalist-open-data.s3.amazonaws.com/photos/11359918/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/11359919/original.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/11359920/original.jpeg,k-southern-south-america,2024-10-25 16:23:20
original_1802643221_1.jpg,3176787,Eucalyptus globulus,14.382,"Sephanoides sephaniodes (R.Lesson & Garnot, 1827)",2476817,-33.440444,-70.643389,30.0,SOUTH_AMERICA,Región Metropolitana de Santiago,2008,6,16,2008-06-16T03:42,True,Paul Tavares,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Paul Tavares,https://inaturalist-open-data.s3.amazonaws.com/photos/11882102/original.jpg,k-southern-south-america,2024-10-25 16:23:25
