"","Assemblage","cell_long","cell_lat","variable","value"
"1","492111",-2465496.53045529,4248406.03449098,"qTD",0.953544374893088
"2","492111",-2465496.53045529,4248406.03449098,"qPD",0.953544209133003
"3","492111",-2465496.53045529,4248406.03449098,"qFD",0.953544365357645
"4","492111",-2465496.53045529,4248406.03449098,"connectance",0.24
"5","492111",-2465496.53045529,4248406.03449098,"compartment.diversity",2.36517352331106
"6","492111",-2465496.53045529,4248406.03449098,"cluster.coefficient",0.2
"7","492111",-2465496.53045529,4248406.03449098,"NODF",21.8181818181818
"8","492111",-2465496.53045529,4248406.03449098,"H2",0.718578509775902
"9","492111",-2465496.53045529,4248406.03449098,"cluster.coefficient.HL",0.274285714285714
"10","492111",-2465496.53045529,4248406.03449098,"cluster.coefficient.LL",0.542857142857143
"11","510328",-2395496.53045529,4098406.03449098,"qTD",1.72656599296892
"12","510328",-2395496.53045529,4098406.03449098,"qPD",1.18832693042375
"13","510328",-2395496.53045529,4098406.03449098,"qFD",1.19764838953989
"14","510328",-2395496.53045529,4098406.03449098,"connectance",0.274509803921569
"15","510328",-2395496.53045529,4098406.03449098,"compartment.diversity",NA
"16","510328",-2395496.53045529,4098406.03449098,"cluster.coefficient",0.333333333333333
"17","510328",-2395496.53045529,4098406.03449098,"NODF",40.1655629139073
"18","510328",-2395496.53045529,4098406.03449098,"H2",0.54257437279631
"19","510328",-2395496.53045529,4098406.03449098,"cluster.coefficient.HL",0.33578431372549
"20","510328",-2395496.53045529,4098406.03449098,"cluster.coefficient.LL",0.496539792387543
"21","575984",-1395496.53045529,3558406.03449098,"qTD",1.18378306870284
"22","575984",-1395496.53045529,3558406.03449098,"qPD",1.07924750999405
"23","575984",-1395496.53045529,3558406.03449098,"qFD",1.06657003837224
"24","575984",-1395496.53045529,3558406.03449098,"connectance",0.333333333333333
"25","575984",-1395496.53045529,3558406.03449098,"compartment.diversity",NA
"26","575984",-1395496.53045529,3558406.03449098,"cluster.coefficient",0.166666666666667
"27","575984",-1395496.53045529,3558406.03449098,"NODF",36
"28","575984",-1395496.53045529,3558406.03449098,"H2",0.0415775608483971
"29","575984",-1395496.53045529,3558406.03449098,"cluster.coefficient.HL",0.895833333333333
"30","575984",-1395496.53045529,3558406.03449098,"cluster.coefficient.LL",0.7
"31","606397",-765496.530455287,3308406.03449098,"qTD",1.82916805497276
"32","606397",-765496.530455287,3308406.03449098,"qPD",1.73312401842397
"33","606397",-765496.530455287,3308406.03449098,"qFD",1.23111299572824
"34","606397",-765496.530455287,3308406.03449098,"connectance",0.275
"35","606397",-765496.530455287,3308406.03449098,"compartment.diversity",1.53621718610039
"36","606397",-765496.530455287,3308406.03449098,"cluster.coefficient",0.2
"37","606397",-765496.530455287,3308406.03449098,"NODF",14.4736842105263
"38","606397",-765496.530455287,3308406.03449098,"H2",0.656802637393765
"39","606397",-765496.530455287,3308406.03449098,"cluster.coefficient.HL",0.285714285714286
"40","606397",-765496.530455287,3308406.03449098,"cluster.coefficient.LL",0.422619047619048
"41","687688",-1235496.53045529,2638406.03449098,"qTD",1.23357287492076
"42","687688",-1235496.53045529,2638406.03449098,"qPD",1.20654595767656
"43","687688",-1235496.53045529,2638406.03449098,"qFD",1.08359946192107
"44","687688",-1235496.53045529,2638406.03449098,"connectance",0.26
"45","687688",-1235496.53045529,2638406.03449098,"compartment.diversity",2.14846668848443
"46","687688",-1235496.53045529,2638406.03449098,"cluster.coefficient",0.2
"47","687688",-1235496.53045529,2638406.03449098,"NODF",28.4848484848485
"48","687688",-1235496.53045529,2638406.03449098,"H2",0.721119826770881
"49","687688",-1235496.53045529,2638406.03449098,"cluster.coefficient.HL",0.33030303030303
"50","687688",-1235496.53045529,2638406.03449098,"cluster.coefficient.LL",0.451515151515151
"51","705937",-845496.530455287,2488406.03449098,"qTD",1.66266427129037
"52","705937",-845496.530455287,2488406.03449098,"qPD",1.45509493930941
"53","705937",-845496.530455287,2488406.03449098,"qFD",1.17994951333563
"54","705937",-845496.530455287,2488406.03449098,"connectance",0.236111111111111
"55","705937",-845496.530455287,2488406.03449098,"compartment.diversity",NA
"56","705937",-845496.530455287,2488406.03449098,"cluster.coefficient",0.166666666666667
"57","705937",-845496.530455287,2488406.03449098,"NODF",27.1604938271605
"58","705937",-845496.530455287,2488406.03449098,"H2",0.41135141158429
"59","705937",-845496.530455287,2488406.03449098,"cluster.coefficient.HL",0.412698412698413
"60","705937",-845496.530455287,2488406.03449098,"cluster.coefficient.LL",0.46031746031746
"61","705957",-645496.530455287,2488406.03449098,"qTD",3.87263538743545
"62","705957",-645496.530455287,2488406.03449098,"qPD",2.95187038435689
"63","705957",-645496.530455287,2488406.03449098,"qFD",1.7893076580268
"64","705957",-645496.530455287,2488406.03449098,"connectance",0.26530612244898
"65","705957",-645496.530455287,2488406.03449098,"compartment.diversity",NA
"66","705957",-645496.530455287,2488406.03449098,"cluster.coefficient",0.285714285714286
"67","705957",-645496.530455287,2488406.03449098,"NODF",23.8095238095238
"68","705957",-645496.530455287,2488406.03449098,"H2",0.709490833967135
"69","705957",-645496.530455287,2488406.03449098,"cluster.coefficient.HL",0.341836734693878
"70","705957",-645496.530455287,2488406.03449098,"cluster.coefficient.LL",0.270408163265306
"71","707149",-865496.530455287,2478406.03449098,"qTD",4.75000846736013
"72","707149",-865496.530455287,2478406.03449098,"qPD",4.10376592506558
"73","707149",-865496.530455287,2478406.03449098,"qFD",1.84321833091726
"74","707149",-865496.530455287,2478406.03449098,"connectance",0.222222222222222
"75","707149",-865496.530455287,2478406.03449098,"compartment.diversity",3.70100863758682
"76","707149",-865496.530455287,2478406.03449098,"cluster.coefficient",0.166666666666667
"77","707149",-865496.530455287,2478406.03449098,"NODF",10
"78","707149",-865496.530455287,2478406.03449098,"H2",0.5
"79","707149",-865496.530455287,2478406.03449098,"cluster.coefficient.HL",0.314814814814815
"80","707149",-865496.530455287,2478406.03449098,"cluster.coefficient.LL",0.240740740740741
"81","708359",-905496.530455287,2468406.03449098,"qTD",3.93759962747162
"82","708359",-905496.530455287,2468406.03449098,"qPD",2.72499710563235
"83","708359",-905496.530455287,2468406.03449098,"qFD",1.72227205596239
"84","708359",-905496.530455287,2468406.03449098,"connectance",0.388888888888889
"85","708359",-905496.530455287,2468406.03449098,"compartment.diversity",NA
"86","708359",-905496.530455287,2468406.03449098,"cluster.coefficient",0.333333333333333
"87","708359",-905496.530455287,2468406.03449098,"NODF",39.2857142857143
"88","708359",-905496.530455287,2468406.03449098,"H2",0.59298098188371
"89","708359",-905496.530455287,2468406.03449098,"cluster.coefficient.HL",0.582491582491582
"90","708359",-905496.530455287,2468406.03449098,"cluster.coefficient.LL",0.409090909090909
"91","708364",-855496.530455287,2468406.03449098,"qTD",1.89727513647732
"92","708364",-855496.530455287,2468406.03449098,"qPD",1.60152868416761
"93","708364",-855496.530455287,2468406.03449098,"qFD",1.20560347433125
"94","708364",-855496.530455287,2468406.03449098,"connectance",0.241758241758242
"95","708364",-855496.530455287,2468406.03449098,"compartment.diversity",NA
"96","708364",-855496.530455287,2468406.03449098,"cluster.coefficient",0.142857142857143
"97","708364",-855496.530455287,2468406.03449098,"NODF",38.8888888888889
"98","708364",-855496.530455287,2468406.03449098,"H2",0.364871214928427
"99","708364",-855496.530455287,2468406.03449098,"cluster.coefficient.HL",0.560267857142857
"100","708364",-855496.530455287,2468406.03449098,"cluster.coefficient.LL",0.409855769230769
"101","709577",-865496.530455287,2458406.03449098,"qTD",2.91187135880861
"102","709577",-865496.530455287,2458406.03449098,"qPD",2.42250642891273
"103","709577",-865496.530455287,2458406.03449098,"qFD",1.41169289786773
"104","709577",-865496.530455287,2458406.03449098,"connectance",0.228571428571429
"105","709577",-865496.530455287,2458406.03449098,"compartment.diversity",NA
"106","709577",-865496.530455287,2458406.03449098,"cluster.coefficient",0.142857142857143
"107","709577",-865496.530455287,2458406.03449098,"NODF",32.9545454545455
"108","709577",-865496.530455287,2458406.03449098,"H2",0.448523217267277
"109","709577",-865496.530455287,2458406.03449098,"cluster.coefficient.HL",0.533333333333333
"110","709577",-865496.530455287,2458406.03449098,"cluster.coefficient.LL",0.3
"111","709578",-855496.530455287,2458406.03449098,"qTD",1.92219742163328
"112","709578",-855496.530455287,2458406.03449098,"qPD",1.59104728318226
"113","709578",-855496.530455287,2458406.03449098,"qFD",1.22496176016411
"114","709578",-855496.530455287,2458406.03449098,"connectance",0.150649350649351
"115","709578",-855496.530455287,2458406.03449098,"compartment.diversity",1.19583527094272
"116","709578",-855496.530455287,2458406.03449098,"cluster.coefficient",0.0909090909090909
"117","709578",-855496.530455287,2458406.03449098,"NODF",40.7136752136752
"118","709578",-855496.530455287,2458406.03449098,"H2",0.352255241042423
"119","709578",-855496.530455287,2458406.03449098,"cluster.coefficient.HL",0.334742776603242
"120","709578",-855496.530455287,2458406.03449098,"cluster.coefficient.LL",0.437873754152824
"121","709579",-845496.530455287,2458406.03449098,"qTD",1.29564266619093
"122","709579",-845496.530455287,2458406.03449098,"qPD",1.14803965358369
"123","709579",-845496.530455287,2458406.03449098,"qFD",1.11201916100711
"124","709579",-845496.530455287,2458406.03449098,"connectance",0.217948717948718
"125","709579",-845496.530455287,2458406.03449098,"compartment.diversity",1.40003292973449
"126","709579",-845496.530455287,2458406.03449098,"cluster.coefficient",0.166666666666667
"127","709579",-845496.530455287,2458406.03449098,"NODF",22.8494623655914
"128","709579",-845496.530455287,2458406.03449098,"H2",0.538916489378671
"129","709579",-845496.530455287,2458406.03449098,"cluster.coefficient.HL",0.343253968253968
"130","709579",-845496.530455287,2458406.03449098,"cluster.coefficient.LL",0.414835164835165
"131","709587",-765496.530455287,2458406.03449098,"qTD",2.96864584766981
"132","709587",-765496.530455287,2458406.03449098,"qPD",2.73748005074693
"133","709587",-765496.530455287,2458406.03449098,"qFD",1.50854304547897
"134","709587",-765496.530455287,2458406.03449098,"connectance",0.244897959183673
"135","709587",-765496.530455287,2458406.03449098,"compartment.diversity",2.21734745227321
"136","709587",-765496.530455287,2458406.03449098,"cluster.coefficient",0.142857142857143
"137","709587",-765496.530455287,2458406.03449098,"NODF",28.968253968254
"138","709587",-765496.530455287,2458406.03449098,"H2",0.510596586318077
"139","709587",-765496.530455287,2458406.03449098,"cluster.coefficient.HL",0.403726708074534
"140","709587",-765496.530455287,2458406.03449098,"cluster.coefficient.LL",0.341614906832298
"141","710792",-855496.530455287,2448406.03449098,"qTD",1.87466583622395
"142","710792",-855496.530455287,2448406.03449098,"qPD",1.58011494815378
"143","710792",-855496.530455287,2448406.03449098,"qFD",1.23661077101033
"144","710792",-855496.530455287,2448406.03449098,"connectance",0.238095238095238
"145","710792",-855496.530455287,2448406.03449098,"compartment.diversity",2.29653742340736
"146","710792",-855496.530455287,2448406.03449098,"cluster.coefficient",0.285714285714286
"147","710792",-855496.530455287,2448406.03449098,"NODF",27.4853801169591
"148","710792",-855496.530455287,2448406.03449098,"H2",0.700297551205542
"149","710792",-855496.530455287,2448406.03449098,"cluster.coefficient.HL",0.320843091334895
"150","710792",-855496.530455287,2448406.03449098,"cluster.coefficient.LL",0.411657559198543
"151","710793",-845496.530455287,2448406.03449098,"qTD",1.6120191569141
"152","710793",-845496.530455287,2448406.03449098,"qPD",1.55381929557985
"153","710793",-845496.530455287,2448406.03449098,"qFD",1.22587721102324
"154","710793",-845496.530455287,2448406.03449098,"connectance",0.3
"155","710793",-845496.530455287,2448406.03449098,"compartment.diversity",1.60663079608635
"156","710793",-845496.530455287,2448406.03449098,"cluster.coefficient",0.3
"157","710793",-845496.530455287,2448406.03449098,"NODF",26
"158","710793",-845496.530455287,2448406.03449098,"H2",0.594303506479579
"159","710793",-845496.530455287,2448406.03449098,"cluster.coefficient.HL",0.3625
"160","710793",-845496.530455287,2448406.03449098,"cluster.coefficient.LL",0.479166666666667
"161","712027",-645496.530455287,2438406.03449098,"qTD",2.84169864709997
"162","712027",-645496.530455287,2438406.03449098,"qPD",2.20231638526168
"163","712027",-645496.530455287,2438406.03449098,"qFD",1.51048078934842
"164","712027",-645496.530455287,2438406.03449098,"connectance",0.233333333333333
"165","712027",-645496.530455287,2438406.03449098,"compartment.diversity",3.82712236060196
"166","712027",-645496.530455287,2438406.03449098,"cluster.coefficient",0.2
"167","712027",-645496.530455287,2438406.03449098,"NODF",0
"168","712027",-645496.530455287,2438406.03449098,"H2",0.666666666666667
"169","712027",-645496.530455287,2438406.03449098,"cluster.coefficient.HL",0.244444444444444
"170","712027",-645496.530455287,2438406.03449098,"cluster.coefficient.LL",0.314814814814815
"171","713228",-775496.530455287,2428406.03449098,"qTD",2.689739380059
"172","713228",-775496.530455287,2428406.03449098,"qPD",2.52069046652923
"173","713228",-775496.530455287,2428406.03449098,"qFD",1.37796396554306
"174","713228",-775496.530455287,2428406.03449098,"connectance",0.183333333333333
"175","713228",-775496.530455287,2428406.03449098,"compartment.diversity",4
"176","713228",-775496.530455287,2428406.03449098,"cluster.coefficient",0.166666666666667
"177","713228",-775496.530455287,2428406.03449098,"NODF",8.88888888888889
"178","713228",-775496.530455287,2428406.03449098,"H2",0.867832658000327
"179","713228",-775496.530455287,2428406.03449098,"cluster.coefficient.HL",0.198412698412698
"180","713228",-775496.530455287,2428406.03449098,"cluster.coefficient.LL",0.223809523809524
"181","714433",-865496.530455287,2418406.03449098,"qTD",5.37913569059486
"182","714433",-865496.530455287,2418406.03449098,"qPD",3.52452138514794
"183","714433",-865496.530455287,2418406.03449098,"qFD",1.66910669136271
"184","714433",-865496.530455287,2418406.03449098,"connectance",0.178571428571429
"185","714433",-865496.530455287,2418406.03449098,"compartment.diversity",4.17987065346641
"186","714433",-865496.530455287,2418406.03449098,"cluster.coefficient",0.125
"187","714433",-865496.530455287,2418406.03449098,"NODF",12.2448979591837
"188","714433",-865496.530455287,2418406.03449098,"H2",0.6
