"","Assemblage","Order.q","SC","m","Method","qFD","s.e.","qFD.LCL","qFD.UCL"
"1","268792",0,0.95,13.2319722048631,"Rarefaction",1.43955702549075,0.0579102028363327,1.32605511359413,1.55305893738737
"2","285796",0,0.95,11.3343770034694,"Rarefaction",1.66522849700801,0.10047063166706,1.46830967743659,1.86214731657944
"3","286956",0,0.95,7.58830986132147,"Rarefaction",1.31458851862037,0.0189082915991059,1.27752894807694,1.3516480891638
"4","286998",0,0.95,18.2070839019203,"Extrapolation",1.94010446242055,0.243726589559265,1.46240912480961,2.41779980003148
"5","287001",0,0.95,8.57822332212604,"Extrapolation",1.5975339976301,0.289774817639682,1.02958579142966,2.16548220383054
"6","288163",0,0.95,9.6492441657957,"Extrapolation",1.32278910241837,0.117330487155473,1.0928255733051,1.55275263153163
"7","290569",0,0.95,106.262565410757,"Rarefaction",1.21014643882151,0.00758307347046053,1.19528388792728,1.22500898971573
"8","290598",0,0.95,10.6382660392322,"Extrapolation",1.30917253347472,0.0542652521116728,1.20281459372386,1.41553047322559
"9","291784",0,0.95,201.741006073562,"Rarefaction",1.25248760283233,0.0244782931884856,1.20451102977989,1.30046417588477
"10","291793",0,0.95,121.990750458159,"Rarefaction",1.21911342761718,0.0155862312739689,1.18856497566549,1.24966187956887
"11","293026",0,0.95,9.67328590257734,"Rarefaction",1.21109206855645,0.0268620869557877,1.15844334557352,1.26374079153938
"12","300278",0,0.95,3.3337306291223,"Rarefaction",1.04414855567075,0.0109818146814599,1.0226245944102,1.06567251693131
"13","307610",0,0.95,13.4040808299122,"Extrapolation",1.2940326710683,0.048552700917005,1.19887112591882,1.38919421621777
"14","310037",0,0.95,5.34757081520634,"Rarefaction",1.21385261364306,0.0703910108671885,1.075888767508,1.35181645977812
"15","313655",0,0.95,9.0470811301965,"Rarefaction",1.27284721956629,0.0341192683726084,1.20597468237712,1.33971975675546
"16","319720",0,0.95,9.35525133858076,"Rarefaction",1.26350011599783,0.0477031916104348,1.17000357849377,1.3569966535019
"17","319775",0,0.95,9.50000878864982,"Rarefaction",1.2250810173641,0.0775725712692774,1.07304157148815,1.37712046324005
"18","330664",0,0.95,9.33823216918134,"Rarefaction",1.32560258981609,0.0340834442393961,1.25880026663779,1.39240491299438
"19","348825",0,0.95,7.67389451451113,"Rarefaction",1.26713528706894,0.0140088682239127,1.2396784098859,1.29459216425198
"20","348835",0,0.95,7.42593456951499,"Rarefaction",1.22735628004572,0.0259631266366266,1.17646948691188,1.27824307317956
"21","354919",0,0.95,8.62391458486124,"Rarefaction",1.27235791457131,0.0333785907834342,1.20693707878108,1.33777875036154
"22","356115",0,0.95,16.8355360473149,"Rarefaction",1.1721966746971,0.0565835439019449,1.06129496653165,1.28309838286256
"23","359815",0,0.95,12.1940136318974,"Rarefaction",1.43619310494478,0.0890999719946572,1.26156036881172,1.61082584107783
"24","362242",0,0.95,7.5370477583389,"Rarefaction",1.3115435938549,0.0136355847039111,1.28481833892709,1.33826884878271
"25","367076",0,0.95,13.8461544594796,"Rarefaction",1.27105218608735,0.0451537248944888,1.18255251152632,1.35955186064837
"26","371984",0,0.95,9.06764025717875,"Rarefaction",1.23838619895001,0.0167084893467724,1.20563816159427,1.27113423630576
"27","373200",0,0.95,6,"Extrapolation",1.25646257246939,0.0810947515225695,1.09751978014993,1.41540536478885
"28","380395",0,0.95,9.42893243486521,"Rarefaction",1.29225081627826,0.066015738923658,1.16286234557509,1.42163928698143
"29","384331",0,0.95,2.67586216120725,"Rarefaction",1.07590159925773,0.0762017295621728,0.926548953756212,1.22525424475925
"30","385411",0,0.95,8.5730911942451,"Rarefaction",1.49411258396133,0.0587648195169092,1.37893565415019,1.60928951377247
"31","387839",0,0.95,10.4722816167605,"Rarefaction",1.31669703326839,0.0783149872809006,1.16320247874811,1.47019158778866
"32","393902",0,0.95,12.5645719718239,"Rarefaction",1.23701419375162,0.0331600861812466,1.17202161911214,1.30200676839111
"33","395113",0,0.95,12.7231870045709,"Rarefaction",1.52575769601104,0.0561749103851934,1.41565689482129,1.63585849720078
"34","396163",0,0.95,12.685017150535,"Rarefaction",1.18343540475294,0.0260501855998678,1.13237797918661,1.23449283031926
"35","398591",0,0.95,9.84623168345535,"Rarefaction",1.15809042971668,0.0209136083901649,1.11710051048518,1.19908034894818
"36","398592",0,0.95,12.5264631907374,"Rarefaction",1.17932581875726,0.0151214397006727,1.14968834154955,1.20896329596497
"37","399805",0,0.95,20.3499878432078,"Rarefaction",1.17744068274304,0.047795608357255,1.08376301174363,1.27111835374244
"38","399909",0,0.95,12.5438133807918,"Rarefaction",1.17426598515166,0.0191826219709868,1.13666873695948,1.21186323334384
"39","400229",0,0.95,140.768881359264,"Rarefaction",1.48273783265401,0.0243993449138402,1.43491599537651,1.53055966993151
"40","401125",0,0.95,13.4040808299122,"Extrapolation",1.26262319100584,0.0340729366647008,1.19584146229551,1.32940491971616
"41","401443",0,0.95,6.72999216662997,"Rarefaction",1.53353891068002,0.0184028041612459,1.49747007730943,1.56960774405061
"42","402247",0,0.95,13.8863473885438,"Rarefaction",1.25892984784809,0.0368047562010972,1.18679385123417,1.33106584446202
"43","402337",0,0.95,12.578472441635,"Rarefaction",1.19519290167189,0.0168146586772185,1.1622367762522,1.22814902709157
"44","402338",0,0.95,8.42780888369608,"Rarefaction",1.20762400263251,0.0329561814406581,1.14303107394085,1.27221693132417
"45","403609",0,0.95,13.4040808299122,"Extrapolation",1.26262319100584,0.0419212239281154,1.18045910191889,1.34478728009278
"46","404765",0,0.95,18.2070839019203,"Extrapolation",1.23761945449425,0.0298777497656947,1.17906014101439,1.29617876797411
"47","407194",0,0.95,8.69103446517604,"Rarefaction",1.22169696964787,0.0160434033357217,1.1902524769204,1.25314146237533
"48","408462",0,0.95,7.90214736072931,"Rarefaction",1.22725626695691,0.0308714021233828,1.16674943064282,1.28776310327099
"49","408463",0,0.95,13.2650777516614,"Rarefaction",1.37131711505824,0.0462185124015282,1.28073049533223,1.46190373478426
"50","409676",0,0.95,11.093281108997,"Rarefaction",1.21479680107962,0.0277582238700301,1.16039168201956,1.26920192013968
"51","410891",0,0.95,7.21032692172012,"Rarefaction",1.25048302102862,0.0088231426348575,1.23318997923384,1.2677760628234
"52","413318",0,0.95,14.7945573550191,"Extrapolation",1.1929317728392,0.0923891361599249,1.01185239340298,1.37401115227542
"53","414390",0,0.95,7.34838878846847,"Rarefaction",1.31437655243707,0.0303287236838117,1.25493334631973,1.37381975855441
"54","414391",0,0.95,21.7838583874457,"Rarefaction",1.31591534966133,0.0425677653183988,1.23248406273491,1.39934663658774
"55","414532",0,0.95,12.2201264167175,"Rarefaction",1.20352614026387,0.0310396159433935,1.14268961092086,1.26436266960687
"56","414533",0,0.95,7.35713190819269,"Rarefaction",1.21663864340882,0.04856201312124,1.12145884667443,1.31181844014322
"57","415606",0,0.95,7.32490594170419,"Rarefaction",1.33801767017863,0.0100295397171787,1.31836013355144,1.35767520680581
"58","415615",0,0.95,7.6698072067258,"Rarefaction",1.30334914225607,0.0633657485751015,1.17915455719545,1.42754372731669
"59","415736",0,0.95,11.7300810143282,"Rarefaction",1.18143052179145,0.0484244455463306,1.08652035254932,1.27634069103358
"60","415746",0,0.95,15.4924726847477,"Extrapolation",1.20766814176494,0.061736949056677,1.08666594509847,1.32867033843141
"61","415747",0,0.95,19.9499690511609,"Rarefaction",1.07154291352358,0.0234159713173212,1.0256484530786,1.11743737396855
"62","415750",0,0.95,5.79999904090334,"Rarefaction",1.23996596851901,0.0475592385533771,1.14675157382224,1.33318036321577
"63","416835",0,0.95,8.15144254843734,"Rarefaction",1.34952682583728,0.0231314886951236,1.30418994108604,1.39486371058852
"64","416961",0,0.95,12.6488802246408,"Rarefaction",1.1811544996821,0.0184414630066098,1.14500989636692,1.21729910299729
"65","418015",0,0.95,10.8810575317198,"Rarefaction",1.21754972401632,0.0187859426143449,1.18072995307657,1.25436949495608
"66","419229",0,0.95,31.9913254273859,"Extrapolation",1.17357627548746,0.0279692147409664,1.1187576219193,1.22839492905562
"67","419261",0,0.95,14.6847321734936,"Extrapolation",1.4979961226384,0.0781356041543773,1.34485315258554,1.65113909269125
"68","419263",0,0.95,8.87940489282653,"Rarefaction",1.27134138189776,0.0776257631686301,1.1191976818148,1.42348508198071
"69","421662",0,0.95,13.6751816298766,"Rarefaction",1.23088737953099,0.0432004044433894,1.14621614270438,1.3155586163576
"70","422890",0,0.95,9.48130923609606,"Rarefaction",1.30765900227509,0.00906128708056617,1.2898992059436,1.32541879860658
"71","425303",0,0.95,6.01457020241846,"Rarefaction",1.24401905165444,0.0457780600317856,1.15429570271002,1.33374240059885
"72","425331",0,0.95,11.0577797542839,"Rarefaction",1.27299649377712,0.0382655782798746,1.19799733850097,1.34799564905327
"73","425461",0,0.95,11.5784484539882,"Extrapolation",1.2524619246312,0.0673895478666844,1.12038083787806,1.38454301138433
