"","Assemblage","Order.q","SC","m","Method","qPD","s.e.","qPD.LCL","qPD.UCL","Reftime","Type"
"1","268792",0,0.95,13.2319722048631,"Rarefaction",2.38017284872293,0.205062914672756,1.97825692139952,2.78208877604634,4.437687,"meanPD"
"2","285796",0,0.95,11.3343770034694,"Rarefaction",2.96896626147623,0.0730686566081906,2.82575432612545,3.11217819682701,4.437687,"meanPD"
"3","286956",0,0.95,7.58830986132147,"Rarefaction",2.58264520021281,0.0707601218319075,2.44395790988061,2.72133249054502,4.437687,"meanPD"
"4","286998",0,0.95,18.2070839019203,"Extrapolation",3.45444134335447,1.02252700189587,1.45032524641885,5.45855744029008,4.437687,"meanPD"
"5","287001",0,0.95,8.57822332212604,"Extrapolation",2.37366757915403,0.532371650331749,1.33023831811366,3.41709684019441,4.437687,"meanPD"
"6","288163",0,0.95,9.6492441657957,"Extrapolation",2.88969017699135,0.675969556187361,1.5648141922186,4.2145661617641,4.437687,"meanPD"
"7","290569",0,0.95,106.262565410757,"Rarefaction",2.18829437915093,0.196847843976874,1.80247969452189,2.57410906377996,3.213625,"meanPD"
"8","290598",0,0.95,10.6382660392322,"Extrapolation",2.39877354425593,0.510484782247258,1.39824175639554,3.39930533211633,4.437687,"meanPD"
"9","291784",0,0.95,201.741006073562,"Rarefaction",2.57900121225883,0.318943925665314,1.95388260486699,3.20411981965066,4.437687,"meanPD"
"10","291793",0,0.95,121.990750458159,"Rarefaction",2.46426240949791,0.219786905726579,2.03348799000032,2.8950368289955,3.213625,"meanPD"
"11","293026",0,0.95,9.67328590257734,"Rarefaction",2.21240709620021,0.103621154909085,2.00931336454196,2.41550082785846,4.437687,"meanPD"
"12","300278",0,0.95,3.3337306291223,"Rarefaction",1.03747950108022,0.0199116388124692,0.998453406134611,1.07650559602583,17.673901,"meanPD"
"13","307610",0,0.95,13.4040808299122,"Extrapolation",2.39984259328155,0.380813601522672,1.65346164947412,3.14622353708897,4.437687,"meanPD"
"14","310037",0,0.95,5.34757081520634,"Rarefaction",2.0265545506097,0.474903443781429,1.09576090466406,2.95734819655534,4.437687,"meanPD"
"15","313655",0,0.95,9.0470811301965,"Rarefaction",2.34990209613994,0.223536434054803,1.91177873616002,2.78802545611987,4.437687,"meanPD"
"16","319720",0,0.95,9.35525133858076,"Rarefaction",2.62457818344991,0.301318304221621,2.03400515929284,3.21515120760697,4.437687,"meanPD"
"17","319775",0,0.95,9.50000878864982,"Rarefaction",2.24948530039081,0.250664900380899,1.75819112345593,2.74077947732569,4.437687,"meanPD"
"18","330664",0,0.95,9.33823216918134,"Rarefaction",2.45082887180769,0.356340255183227,1.75241480540676,3.14924293820863,4.437687,"meanPD"
"19","348825",0,0.95,7.67389451451113,"Rarefaction",2.55724261378591,0.091527271196052,2.37785245863841,2.7366327689334,3.213625,"meanPD"
"20","348835",0,0.95,7.42593456951499,"Rarefaction",2.16249601490082,0.248788526060011,1.67487946405639,2.65011256574524,3.213625,"meanPD"
"21","354919",0,0.95,8.62391458486124,"Rarefaction",2.25567474909214,0.251550492538978,1.76264484342243,2.74870465476184,4.437687,"meanPD"
"22","356115",0,0.95,16.8355360473149,"Rarefaction",2.23545700382473,0.463640747564102,1.32673783683386,3.14417617081559,3.213625,"meanPD"
"23","359815",0,0.95,12.1940136318974,"Rarefaction",2.85778327719073,0.581992993365096,1.71709797094049,3.99846858344098,4.437687,"meanPD"
"24","362242",0,0.95,7.5370477583389,"Rarefaction",2.27626170172324,0.112734338947067,2.05530645756606,2.49721694588042,4.437687,"meanPD"
"25","367076",0,0.95,13.8461544594796,"Rarefaction",2.3372645089506,0.148717351789103,2.04578385556778,2.62874516233341,14.582255,"meanPD"
"26","371984",0,0.95,9.06764025717875,"Rarefaction",2.28123476820211,0.0448185384250507,2.19339204704929,2.36907748935493,4.437687,"meanPD"
"27","373200",0,0.95,6,"Extrapolation",2.38076145930847,0.616374041930004,1.17269053612028,3.58883238249666,4.437687,"meanPD"
"28","380395",0,0.95,9.42893243486521,"Rarefaction",2.58134211665753,0.58256762935603,1.43953054456083,3.72315368875423,4.437687,"meanPD"
"29","384331",0,0.95,2.67586216120725,"Rarefaction",1.09518944096148,0.208740632424347,0.686065319299646,1.50431356262331,14.582255,"meanPD"
"30","385411",0,0.95,8.5730911942451,"Rarefaction",2.22232038199792,0.156744258590265,1.91510728037757,2.52953348361828,4.437687,"meanPD"
"31","387839",0,0.95,10.4722816167605,"Rarefaction",2.35449077063503,0.106871860965837,2.14502577218122,2.56395576908884,4.437687,"meanPD"
"32","393902",0,0.95,12.5645719718239,"Rarefaction",2.2983874448869,0.217012518002193,1.87305072540825,2.72372416436554,4.437687,"meanPD"
"33","395113",0,0.95,12.7231870045709,"Rarefaction",2.53406549213705,0.0473656991795488,2.44123042764257,2.62690055663152,4.437687,"meanPD"
"34","396163",0,0.95,12.685017150535,"Rarefaction",2.26991362503044,0.177601076658109,1.92182191116501,2.61800533889587,3.213625,"meanPD"
"35","398591",0,0.95,9.84623168345535,"Rarefaction",2.1188125035187,0.0854719521561169,1.95129055560438,2.28633445143302,3.213625,"meanPD"
"36","398592",0,0.95,12.5264631907374,"Rarefaction",2.20138704404881,0.0377609792753125,2.12737688464824,2.27539720344939,3.213625,"meanPD"
"37","399805",0,0.95,20.3499878432078,"Rarefaction",2.31733128438592,0.482946816374811,1.37077291784301,3.26388965092883,3.213625,"meanPD"
"38","399909",0,0.95,12.5438133807918,"Rarefaction",2.08273926076829,0.11297870717062,1.86130506369398,2.30417345784261,4.437687,"meanPD"
