"","x"
"1","Chaetocercus_heliodor"
"2","Polyerata_amabilis"
"3","Chrysuronia_boucardi"
"4","Elliotomyia_chionogaster"
"5","Chionomesa_fimbriata"
"6","Uranomitra_franciae"
"7","Saucerottia_saucerottei"
"8","Chrysuronia_versicolor"
"9","Ramosomyia_violiceps"
"10","Amazilis_amazilia"
"11","Anopetia_gounellei"
"12","Anthocephala_berlepschi"
"13","Anthocephala_floriceps"
"14","Anthracothorax_aurulentus"
"15","Anthracothorax_veraguensis"
"16","Philodice_bryantae"
"17","Philodice_mitchellii"
"18","Campylopterus_calcirupicola"
"19","Campylopterus_diamantinensis"
"20","Campylopterus_phainopeplus"
"21","Chaetocercus_astreans"
"22","Chaetocercus_berlepschi"
"23","Chaetocercus_jourdanii"
"24","Chalcostigma_heteropogon"
"25","Chalcostigma_olivaceum"
"26","Chionomesa_lactea"
"27","Chlorestes_candida"
"28","Chlorestes_cyanus"
"29","Chlorestes_eliciae"
"30","Chlorestes_julie"
"31","Chrysuronia_brevirostris"
"32","Chrysuronia_coeruleogularis"
"33","Chrysuronia_goudoti"
"34","Chrysuronia_grayi"
"35","Chrysuronia_humboldtii"
"36","Chrysuronia_leucogaster"
"37","Chrysuronia_lilliae"
"38","Heliodoxa_rubricauda"
"39","Coeligena_conradii"
"40","Coeligena_consita"
"41","Coeligena_eos"
"42","Coeligena_inca"
"43","Colibri_cyanotus"
"44","Cynanthus_auriceps"
"45","Cynanthus_canivetii"
"46","Cynanthus_forficatus"
"47","Cynanthus_lawrencei"
"48","Elliotomyia_viridicauda"
"49","Eriocnemis_derbyi"
"50","Eugenes_spectabilis"
"51","Eulidia_yarrellii"
"52","Eupetomena_cirrochloris"
"53","Eupherusa_ridgwayi"
"54","Goldmania_bella"
"55","Heliangelus_clarisse"
"56","Heliangelus_micraster"
"57","Heliangelus_spencei"
"58","Lampornis_sybillae"
"59","Ramosomyia_viridifrons"
"60","Lophornis_brachylophus"
"61","Lophornis_stictolophus"
"62","Lophornis_verreauxii"
"63","Metallura_iracunda"
"64","Microchera_chionura"
"65","Microchera_cupreiceps"
"66","Myrmia_micrura"
"67","Nesophlox_evelynae"
"68","Nesophlox_lyrura"
"69","Ocreatus_addae"
"70","Ocreatus_peruanus"
"71","Opisthoprora_euryptera"
"72","Oreotrochilus_adela"
"73","Oreotrochilus_cyanolaemus"
"74","Oreotrochilus_stolzmanni"
"75","Oxypogon_cyanolaemus"
"76","Oxypogon_lindenii"
"77","Oxypogon_stuebelii"
"78","Pampa_curvipennis"
"79","Pampa_rufa"
"80","Phaeoptila_sordida"
"81","Phaethornis_aethopygus"
"82","Polyerata_decora"
"83","Polyerata_rosenbergi"
"84","Ramphomicron_dorsale"
"85","Riccordia_bicolor"
"86","Riccordia_maugaeus"
"87","Riccordia_ricordii"
"88","Riccordia_swainsonii"
"89","Saucerottia_beryllina"
"90","Saucerottia_castaneiventris"
"91","Saucerottia_cyanifrons"
"92","Saucerottia_cyanocephala"
"93","Saucerottia_cyanura"
"94","Saucerottia_edward"
"95","Saucerottia_hoffmanni"
"96","Saucerottia_tobaci"
"97","Saucerottia_viridigaster"
"98","Schistes_albogularis"
"99","Selasphorus_ellioti"
"100","Selasphorus_heloisa"
"101","Stephanoxis_loddigesii"
"102","Talaphorus_chlorocercus"
"103","Taphrolesbia_griseiventris"
"104","Thaumasius_baeri"
"105","Thaumasius_taczanowskii"
"106","Urochroa_leucura"
