"","x"
"1","Aglaiocercus_kingii"
"2","Polyerata_amabilis"
"3","Chrysuronia_boucardi"
"4","Elliotomyia_chionogaster"
"5","Chionomesa_fimbriata"
"6","Uranomitra_franciae"
"7","Saucerottia_saucerottei"
"8","Chrysuronia_versicolor"
"9","Ramosomyia_violiceps"
"10","Amazilis_amazilia"
"11","Anthocephala_berlepschi"
"12","Anthracothorax_aurulentus"
"13","Basilinna_leucotis"
"14","Basilinna_xantusii"
"15","Philodice_bryantae"
"16","Philodice_mitchellii"
"17","Campylopterus_calcirupicola"
"18","Campylopterus_diamantinensis"
"19","Chionomesa_lactea"
"20","Chlorestes_candida"
"21","Chlorestes_cyanus"
"22","Chlorestes_eliciae"
"23","Chlorestes_julie"
"24","Chrysuronia_brevirostris"
"25","Chrysuronia_coeruleogularis"
"26","Chrysuronia_goudoti"
"27","Chrysuronia_grayi"
"28","Chrysuronia_humboldtii"
"29","Chrysuronia_leucogaster"
"30","Chrysuronia_lilliae"
"31","Heliodoxa_rubricauda"
"32","Coeligena_conradii"
"33","Coeligena_consita"
"34","Coeligena_eos"
"35","Coeligena_inca"
"36","Colibri_cyanotus"
"37","Cynanthus_auriceps"
"38","Cynanthus_canivetii"
"39","Cynanthus_doubledayi"
"40","Cynanthus_forficatus"
"41","Cynanthus_lawrencei"
"42","Elliotomyia_viridicauda"
"43","Eriocnemis_aline"
"44","Eugenes_spectabilis"
"45","Eupetomena_cirrochloris"
"46","Eupherusa_ridgwayi"
"47","Goldmania_bella"
"48","Heliangelus_clarisse"
"49","Heliangelus_spencei"
"50","Ramosomyia_viridifrons"
"51","Lophornis_verreauxii"
"52","Microchera_chionura"
"53","Microchera_cupreiceps"
"54","Nesophlox_evelynae"
"55","Nesophlox_lyrura"
"56","Ocreatus_addae"
"57","Ocreatus_peruanus"
"58","Oreotrochilus_cyanolaemus"
"59","Oreotrochilus_stolzmanni"
"60","Oxypogon_cyanolaemus"
"61","Oxypogon_lindenii"
"62","Oxypogon_stuebelii"
"63","Pampa_curvipennis"
"64","Pampa_rufa"
"65","Phaeoptila_sordida"
"66","Phaethornis_aethopygus"
"67","Phaethornis_mexicanus"
"68","Polyerata_decora"
"69","Polyerata_rosenbergi"
"70","Riccordia_bicolor"
"71","Riccordia_maugaeus"
"72","Riccordia_ricordii"
"73","Riccordia_swainsonii"
"74","Sappho_sparganurus"
"75","Saucerottia_beryllina"
"76","Saucerottia_castaneiventris"
"77","Saucerottia_cyanifrons"
"78","Saucerottia_cyanocephala"
"79","Saucerottia_cyanura"
"80","Saucerottia_edward"
"81","Saucerottia_hoffmanni"
"82","Saucerottia_tobaci"
"83","Saucerottia_viridigaster"
"84","Schistes_albogularis"
"85","Selasphorus_calliope"
"86","Selasphorus_ellioti"
"87","Selasphorus_heloisa"
"88","Stephanoxis_loddigesii"
"89","Talaphorus_chlorocercus"
"90","Thaumasius_baeri"
"91","Thaumasius_taczanowskii"
"92","Urochroa_leucura"
